rank,name,position,nfl_team,opp,fpts,match_key
207,B. Bills,DST,BUF,HST,6.8,DST|BUF
208,P. Eagles,DST,PHI,WAS,6.7,DST|PHI
209,M. Taylor,TE,NYJ,TEN,6.7,M|taylor|NYJ
210,J. Jennings,WR,MIN,GB,6.7,J|jennings|MIN
211,B. Grupe,K,NYJ,TEN,6.6,B|grupe|NYJ
212,D. Cowboys,DST,DAL,NYG,6.6,DST|DAL
213,M. Washington,WR,MIA,LV,6.6,M|washington|MIA
214,R. Patterson,K,MIA,LV,6.6,R|patterson|MIA
215,C. Ryland,K,ARI,LAC,6.6,C|ryland|ARI
216,L. Angeles Rams,DST,LAR,SF,6.5,DST|LAR
217,C. Rodriguez Jr.,RB,JAC,CLV,6.5,C|rodriguez|JAC
218,P. Bryant,WR,DEN,KC,6.5,P|bryant|DEN
219,B. Ravens,DST,BAL,IND,6.5,DST|BAL
220,B. Lance,WR,NO,DET,6.3,B|lance|NO
221,N. England Patriots,DST,NE,SEA,6.3,DST|NE
222,C. Bengals,DST,CIN,TB,6.3,DST|CIN
223,C. Parkinson,TE,LAR,SF,6.2,C|parkinson|LAR
224,D. Sampson,RB,CLE,JAX,6.2,D|sampson|CLE
225,M. Gesicki,TE,CIN,TB,6.1,M|gesicki|CIN
226,E. Engram,TE,DEN,KC,6.1,E|engram|DEN
227,D. Stribling,WR,SF,LA,6.1,D|stribling|SF
228,D. Broncos,DST,DEN,KC,6.1,DST|DEN
229,T. Ferguson,TE,LAR,SF,6.0,T|ferguson|LAR
230,A. Falcons,DST,ATL,PIT,6.0,DST|ATL
231,M. Fields,WR,NYG,DAL,6.0,M|fields|NYG
232,G. Bay Packers,DST,GB,MIN,6.0,DST|GB
233,M. Dolphins,DST,MIA,LV,5.9,DST|MIA
234,J. Hill,RB,BAL,IND,5.9,J|hill|BAL
235,A. Szmyt,K,CLE,JAX,5.8,A|szmyt|CLE
236,A. Iosivas,WR,CIN,TB,5.7,A|iosivas|CIN
237,C. Kolar,TE,LAC,ARZ,5.6,C|kolar|LAC
238,K. Mitchell,RB,LAC,ARZ,5.6,K|mitchell|LAC
239,K. City Chiefs,DST,KC,DEN,5.6,DST|KC
240,G. Helm,TE,TEN,NYJ,5.6,G|helm|TEN
241,J. Lane,WR,BAL,IND,5.5,J|lane|BAL
242,X. Legette,WR,CAR,CHI,5.5,X|legette|CAR
243,G. Holani,RB,SEA,NE,5.5,G|holani|SEA
244,C. Browns,DST,CLE,JAX,5.5,DST|CLE
245,G. Dulcich,TE,MIA,LV,5.4,G|dulcich|MIA
246,D. Boston,WR,CLE,JAX,5.4,D|boston|CLE
247,T. Allgeier,RB,ARI,LAC,5.4,T|allgeier|ARI
248,B. Robinson,RB,ATL,PIT,5.4,B|robinson|ATL
249,M. Vikings,DST,MIN,GB,5.4,DST|MIN
250,K. Coleman,WR,BUF,HST,5.3,K|coleman|BUF
251,H. Texans,DST,HOU,BUF,5.3,DST|HOU
252,T. Johnson,RB,BUF,HST,5.3,T|johnson|BUF
253,T. Bay Buccaneers,DST,TB,CIN,5.2,DST|TB
254,W. Marks,RB,HOU,BUF,5.2,W|marks|HOU
255,J. Bech,WR,LV,MIA,5.2,J|bech|LV
256,I. TeSlaa,WR,DET,NO,5.2,I|teslaa|DET
257,K. Bourne,WR,ARI,LAC,5.1,K|bourne|ARI
258,N. York Giants,DST,NYG,DAL,5.1,DST|NYG
259,C. Panthers,DST,CAR,CHI,5.0,DST|CAR
260,W. Commanders,DST,WAS,PHI,4.9,DST|WAS
261,J. Dotson,WR,ATL,PIT,4.8,J|dotson|ATL
262,R. Wilson,WR,PIT,ATL,4.8,R|wilson|PIT
263,D. Douglas,WR,NE,SEA,4.8,D|douglas|NE
264,T. Thornton,WR,KC,DEN,4.8,T|thornton|KC
265,M. Lemon,WR,PHI,WAS,4.8,M|lemon|PHI
266,S. Francisco 49ers,DST,SF,LA,4.7,DST|SF
267,D. Waller,TE,CAR,CHI,4.7,D|waller|CAR
268,K. Miller,RB,NO,DET,4.6,K|miller|NO
269,O. Zaccheaus,WR,ATL,PIT,4.6,O|zaccheaus|ATL
270,I. Colts,DST,IND,BLT,4.6,DST|IND
271,J. Saylors,RB,DET,NO,4.5,J|saylors|DET
272,D. Knox,TE,BUF,HST,4.5,D|knox|BUF
273,N. Harris,RB,NYG,DAL,4.5,N|harris|NYG
274,D. Washington,TE,PIT,ATL,4.5,D|washington|PIT
275,A. Cardinals,DST,ARI,LAC,4.4,DST|ARI
276,B. Smith,RB,KC,DEN,4.4,B|smith|KC
277,T. Burks,WR,WAS,PHI,4.3,T|burks|WAS
278,B. Allen,RB,NYJ,TEN,4.3,B|allen|NYJ
279,E. Wilson,RB,SEA,NE,4.3,E|wilson|SEA
280,O. Gadsden II,TE,LAC,ARZ,4.3,O|gadsden|LAC
281,C. Kmet,TE,CHI,CAR,4.2,C|kmet|CHI
282,G. Bernard,WR,PIT,ATL,4.1,G|bernard|PIT
283,D. Mooney,WR,NYG,DAL,4.0,D|mooney|NYG
284,I. Williams,WR,NYJ,TEN,3.9,I|williams|NYJ
285,T. Johnson,TE,NYG,DAL,3.9,T|johnson|NYG
286,N. Orleans Saints,DST,NO,DET,3.9,DST|NO
287,M. Mayer,TE,LV,MIA,3.7,M|mayer|LV
288,E. Ayomanor,WR,TEN,NYJ,3.7,E|ayomanor|TEN
289,X. Hutchinson,WR,HOU,BUF,3.6,X|hutchinson|HOU
290,Z. Thomas,WR,CHI,CAR,3.6,Z|thomas|CHI
291,J. Coleman,RB,DEN,KC,3.5,J|coleman|DEN
292,K. Vidal,RB,LAC,ARZ,3.5,K|vidal|LAC
293,N. Gray,TE,KC,DEN,3.4,N|gray|KC
294,K. Turpin,WR,DAL,NYG,3.4,K|turpin|DAL
295,T. Bigsby,RB,PHI,WAS,3.4,T|bigsby|PHI
296,J. Tolbert,WR,MIA,LV,3.4,J|tolbert|MIA
297,J. Wright,RB,MIA,LV,3.4,J|wright|MIA
298,M. Washington Jr.,RB,LV,MIA,3.4,M|washington|LV
299,M. Davis,RB,DAL,NYG,3.3,M|davis|DAL
300,D. Robinson,WR,SF,LA,3.3,D|robinson|SF
301,C. Bell,WR,MIA,LV,3.3,C|bell|MIA
302,O. Cooper Jr.,WR,NYJ,TEN,3.3,O|cooper|NYJ
303,D. Bellinger,TE,TEN,NYJ,3.2,D|bellinger|TEN
304,C. Kiner,RB,NE,SEA,3.2,C|kiner|NE
305,M. Hollins,WR,NE,SEA,3.2,M|hollins|NE
306,T. Johnson,WR,TB,CIN,3.2,T|johnson|TB
307,C. Allen,WR,KC,DEN,3.2,C|allen|KC
308,T. Hunter,WR,JAC,CLV,3.2,T|hunter|JAC
309,E. All,TE,CIN,TB,3.1,E|all|CIN
310,D. Sample,TE,CIN,TB,3.1,D|sample|CIN
311,J. Palmer,WR,BUF,HST,3.1,J|palmer|BUF
312,E. Johnson,RB,KC,DEN,3.1,E|johnson|KC
313,A. Hooper,TE,ATL,PIT,2.9,A|hooper|ATL
314,K. Raymond,WR,CHI,CAR,2.9,K|raymond|CHI
315,I. Davis,RB,NYJ,TEN,2.9,I|davis|NYJ
316,T. Tracy Jr.,RB,NYG,DAL,2.9,T|tracy|NYG
317,M. Mims Jr.,WR,DEN,KC,2.8,M|mims|DEN
318,K. Black,RB,SF,LA,2.8,K|black|SF
319,A. Dulin,WR,IND,BLT,2.8,A|dulin|IND
320,T. Higbee,TE,LAR,SF,2.8,T|higbee|LAR
321,K. Mumpfield,WR,LAR,SF,2.8,K|mumpfield|LAR
322,E. Arroyo,TE,SEA,NE,2.5,E|arroyo|SEA
323,W. Kacmarek,TE,MIA,LV,2.5,W|kacmarek|MIA
324,A. Abdullah,RB,JAC,CLV,2.5,A|abdullah|JAC
325,N. Fant,TE,NO,DET,2.4,N|fant|NO
326,T. Franklin,WR,DEN,KC,2.4,T|franklin|DEN
327,J. Smith,TE,GB,MIN,2.4,J|smith|GB
328,K. Juszczyk,RB,SF,LA,2.4,K|juszczyk|SF
