rank,name,position,nfl_team,opp,fpts,match_key
425,R. Tonyan,TE,PIT,ATL,0.7,R|tonyan|PIT
426,J. Brooks,WR,ARI,LAC,0.6,J|brooks|ARI
427,K. Lambert-Smith,WR,LAC,ARZ,0.6,K|lambert-smith|LAC
428,J. Cowing,WR,SF,LA,0.6,J|cowing|SF
429,T. Conklin,TE,DET,NO,0.6,T|conklin|DET
430,L. Treadwell,WR,IND,BLT,0.6,L|treadwell|IND
431,T. Kennedy,WR,DET,NO,0.6,T|kennedy|DET
432,J. Watkins,WR,SF,LA,0.6,J|watkins|SF
433,M. Klein,TE,HOU,BUF,0.6,M|klein|HOU
434,B. Skowronek,WR,PIT,ATL,0.5,B|skowronek|PIT
435,J. Moreno-Cropper,WR,NO,DET,0.5,J|moreno-cropper|NO
436,A. Prentice,RB,DEN,KC,0.5,A|prentice|DEN
437,D. Davis,WR,LAC,ARZ,0.5,D|davis|LAC
438,L. Larison,RB,NE,SEA,0.5,L|larison|NE
439,T. Patrick,WR,NYJ,TEN,0.5,T|patrick|NYJ
440,D. Burks,WR,IND,BLT,0.4,D|burks|IND
441,A. Smith,WR,NYJ,TEN,0.4,A|smith|NYJ
442,J. James,RB,SF,LA,0.4,J|james|SF
443,C. Williams,WR,JAC,CLV,0.4,C|williams|JAC
444,E. Sarratt,WR,BAL,IND,0.4,E|sarratt|BAL
445,P. Ricard,RB,NYG,DAL,0.4,P|ricard|NYG
446,D. Brown,WR,WAS,PHI,0.4,D|brown|WAS
447,T. Koziol,TE,JAC,CLV,0.4,T|koziol|JAC
448,E. Moore,WR,PHI,WAS,0.4,E|moore|PHI
449,E. Stowers,TE,PHI,WAS,0.4,E|stowers|PHI
450,J. Joly,TE,MIA,LV,0.4,J|joly|MIA
451,S. Fehoko,WR,ARI,LAC,0.4,S|fehoko|ARI
452,J. Wayne,WR,HOU,BUF,0.4,J|wayne|HOU
453,J. Endries,TE,CIN,TB,0.4,J|endries|CIN
454,D. Young,WR,LV,MIA,0.4,D|young|LV
455,C. Blair,WR,ATL,PIT,0.3,C|blair|ATL
456,R. Rivers,RB,LAR,SF,0.3,R|rivers|LAR
457,J. Wiley,TE,KC,DEN,0.3,J|wiley|KC
458,D. Duvernay,WR,ARI,LAC,0.3,D|duvernay|ARI
459,B. Brooks,RB,HOU,BUF,0.3,B|brooks|HOU
460,B. Yurosek,TE,MIN,GB,0.3,B|yurosek|MIN
461,R. Miller,WR,MIA,LV,0.3,R|miller|MIA
462,D. Cooper,WR,PHI,WAS,0.3,D|cooper|PHI
463,D. Martin-Robinson,TE,TEN,NYJ,0.3,D|martin-robinson|TEN
464,T. Goodson,RB,ATL,PIT,0.3,T|goodson|ATL
465,B. Tremayne,WR,CAR,CHI,0.2,B|tremayne|CAR
466,Q. Morris,TE,JAC,CLV,0.2,Q|morris|JAC
467,M. Burton,RB,CLE,JAX,0.2,M|burton|CLE
468,L. Wester,WR,BAL,IND,0.2,L|wester|BAL
469,M. Foster Jr,WR,SEA,NE,0.2,M|foster|SEA
470,T. Fidone II,TE,NYG,DAL,0.2,T|fidone|NYG
471,K. Johnson,WR,TB,CIN,0.2,K|johnson|TB
472,J. Michael Sturdivant,WR,GB,MIN,0.2,J|michael sturdivant|GB
473,C. Yankoff,TE,WAS,PHI,0.2,C|yankoff|WAS
474,C. Manhertz,TE,NYG,DAL,0.2,C|manhertz|NYG
475,J. Mingo,WR,DAL,NYG,0.2,J|mingo|DAL
476,T. Wallace,WR,CLE,JAX,0.2,T|wallace|CLE
477,B. Willis,TE,SF,LA,0.2,B|willis|SF
478,C. Latu,TE,NE,SEA,0.2,C|latu|NE
479,J. Woods,TE,NYJ,TEN,0.2,J|woods|NYJ
480,J. Cameron,WR,JAC,CLV,0.2,J|cameron|JAC
481,T. Arkin,TE,NE,SEA,0.2,T|arkin|NE
482,K. Williams,WR,CIN,TB,0.2,K|williams|CIN
483,R. Gilliam,RB,NE,SEA,0.1,R|gilliam|NE
484,D. Herman,RB,MIA,LV,0.1,D|herman|MIA
485,K. Kieft,TE,TB,CIN,0.1,K|kieft|TB
486,K. Wetjen,WR,PIT,ATL,0.1,K|wetjen|PIT
487,E. Jenkins,TE,PHI,WAS,0.1,E|jenkins|PHI
488,K. Latu,TE,BUF,HST,0.1,K|latu|BUF
489,M. Redman,TE,GB,MIN,0.1,M|redman|GB
490,N. Kallerup,TE,SEA,NE,0.0,N|kallerup|SEA
491,F. Franks,TE,CAR,CHI,0.0,F|franks|CAR
492,J. Briningstool,TE,KC,DEN,0.0,J|briningstool|KC
493,S. Sanders,QB,CLE,JAX,0.0,S|sanders|CLE
494,T. Henderson,RB,NE,SEA,0.0,T|henderson|NE
495,J. Jacobs,RB,GB,MIN,0.0,J|jacobs|GB
496,M. Penix Jr.,QB,ATL,PIT,0.0,M|penix|ATL
497,D. Bentley,TE,DEN,KC,0.0,D|bentley|DEN
498,J. Milroe,QB,SEA,NE,0.0,J|milroe|SEA
499,T. Atwell,WR,LAR,SF,0.0,T|atwell|LAR
500,E. Chism III,WR,NE,SEA,0.0,E|chism|NE
501,C. Daniels,WR,LAR,SF,0.0,C|daniels|LAR
502,J. Meeks,TE,DET,NO,0.0,J|meeks|DET
503,T. Badie,RB,DEN,KC,0.0,T|badie|DEN
504,R. White III,WR,SEA,NE,0.0,R|white|SEA
505,B. Sharp,TE,TB,CIN,0.0,B|sharp|TB
506,C. Brown,WR,DAL,NYG,0.0,C|brown|DAL
507,L. Jackson,WR,DET,NO,0.0,L|jackson|DET
508,R. Ouzts,RB,SEA,NE,0.0,R|ouzts|SEA
509,J. Chestnut,RB,TEN,NYJ,0.0,J|chestnut|TEN
510,G. Bartholomew,TE,MIN,GB,0.0,G|bartholomew|MIN
511,M. Klare,TE,LAR,SF,0.0,M|klare|LAR
512,R. Virgil,WR,ARI,LAC,0.0,R|virgil|ARI
513,Z. Charbonnet,RB,SEA,NE,0.0,Z|charbonnet|SEA
514,D. Singletary,RB,NYG,DAL,0.0,D|singletary|NYG
515,L. Humphrey,WR,DEN,KC,0.0,L|humphrey|DEN
516,I. Pacheco,RB,DET,NO,0.0,I|pacheco|DET
517,J. Small,RB,DET,NO,0.0,J|small|DET
518,T. Dell,WR,HOU,BUF,0.0,T|dell|HOU
519,J. Hill,TE,NE,SEA,0.0,J|hill|NE
520,A. Kamara,RB,NO,DET,0.0,A|kamara|NO
521,L. Allen Jr.,RB,JAC,CLV,-0.0,L|allen|JAC
522,M. Price,WR,MIN,GB,-0.0,M|price|MIN
523,K. Nwangwu,RB,NYJ,TEN,-0.0,K|nwangwu|NYJ
524,J. Lane,WR,WAS,PHI,-0.0,J|lane|WAS
525,D. Meyers,WR,CIN,TB,-0.0,D|meyers|CIN
526,N. Remigio,WR,KC,DEN,-0.1,N|remigio|KC
