"","","","","Projection","","","","","Draft","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","YDS","TD","TGT","REC","YDS","TD"
"95","Hunter Luepke","RB","DAL","14","22.2","15","1.48","16","","2160.0","13","53","0.3","9","7","60","0.3"
"96","Dare Ogunbowale","RB","LV","13","21.9","7","3.13","16","178","999.0","13","47","0.2","11","9","54","0.3"
"97","Jarquez Hunter","RB","LA","11","20.0","10","2.00","16","71","240.6","21","94","0.7","4","3","27","0.1"
"98","Raheim Sanders","RB","CLV","11","19.2","10","1.92","16","141","999.0","24","93","0.6","4","3","27","0.1"
"99","Alec Ingold","RB","LAC","7","18.4","15","1.23","16","","2220.0","3","8","0.1","10","8","71","0.3"
"100","Salvon Ahmed","RB","CHI","10","16.0","10","1.60","16","106","640.0","21","89","0.5","2","2","15","0.1"
"101","Jacob Saylors","RB","DET","6","15.5","10","1.55","16","213","999.0","15","64","0.5","4","3","27","0.1"
"102","Max Bredeson","RB","MIN","6","15.0","15","1.00","16","86","667.3","7","24","0.1","7","6","52","0.2"
"103","Adam Prentice","RB","DEN","10","14.9","15","1.00","16","","2305.0","6","22","0.1","8","6","47","0.2"
"104","Dylan Laube","RB","LV","13","14.6","8","1.83","16","207","999.0","15","60","0.3","4","3","28","0.1"
"105","Emari Demercado","RB","KC","5","14.6","10","1.46","16","214","999.0","12","49","0.3","5","4","32","0.2"
"106","Phil Mafah","RB","DAL","14","13.6","13","1.05","17","189","999.0","16","67","0.4","3","2","14","0.1"
"107","Malik Davis","RB","DAL","14","12.1","10","1.21","17","145","999.0","15","63","0.4","2","2","15","0.1"
"108","Nate Carter","RB","ATL","11","11.8","5","2.36","17","131","699.0","14","64","0.4","2","2","14","0.1"
"109","Travis Homer","RB","PIT","9","11.3","14","0.81","17","130","695.2","14","45","0.1","4","3","25","0.1"
"110","Michael Burton","RB","CLV","11","10.5","15","0.70","17","","2425.0","4","15","0.1","4","4","37","0.2"
"111","Rasheen Ali","RB","BLT","13","10.3","5","2.06","17","210","999.0","6","24","0.1","4","3","31","0.2"
"112","Jeremy McNichols","RB","WAS","7","9.4","5","1.88","17","174","999.0","3","14","0.1","5","4","27","0.1"
"113","Andrew Beck","RB","NYJ","13","8.9","15","0.59","17","97","614.0","1","6","0.0","4","4","36","0.1"
"114","Trey Benson","RB","ARZ","14","8.8","5","1.76","17","77","255.2","7","29","0.2","3","3","20","0.1"
"115","British Brooks","RB","HST","8","8.7","15","0.58","17","149","999.0","15","63","0.3","1","0","3","0.0"
"116","Roschon Johnson","RB","CHI","10","8.7","5","1.75","17","203","999.0","11","48","0.3","1","1","9","0.0"
"117","DeeJay Dallas","RB","JAX","7","7.5","10","0.75","17","118","677.3","7","29","0.1","2","2","17","0.1"
"118","Sione Vaki","RB","DET","6","7.4","10","0.74","17","147","999.0","5","22","0.2","2","2","18","0.1"
"119","Jam Miller","RB","NE","11","7.2","10","0.72","17","201","999.0","7","31","0.2","1","1","14","0.1"
"120","Connor Heyward","RB","LV","13","6.6","15","0.44","17","96","682.0","7","18","0.4","1","1","10","0.1"
"121","Kaleb Johnson","RB","PIT","9","6.4","6","1.06","17","62","217.5","8","32","0.1","2","1","10","0.0"
"122","Tyler Badie","RB","DEN","10","5.7","4","1.42","17","142","999.0","2","10","0.0","3","2","18","0.1"
"123","Pierre Strong","RB","GB","11","5.1","5","1.03","17","121","682.0","5","23","0.1","1","1","8","0.0"
"124","AJ Dillon","RB","CAR","5","5.1","7","0.72","17","166","999.0","4","16","0.1","2","2","11","0.0"
"125","Kene Nwangwu","RB","NYJ","13","5.0","5","1.01","17","190","999.0","6","25","0.1","1","1","8","0.1"
"126","Patrick Ricard","RB","NYG","8","5.0","15","0.33","17","","2660.0","1","2","0.0","2","2","19","0.2"
"127","Brady Russell","RB","SEA","11","4.8","15","0.32","17","75","636.0","1","2","0.0","3","2","15","0.1"
"128","Reggie Gilliam","RB","NE","11","4.7","15","0.31","17","197","999.0","1","3","0.0","2","2","18","0.1"
"129","Ty Chandler","RB","NO","8","4.5","10","0.45","17","148","999.0","8","30","0.1","1","0","2","0.0"
"130","Josh Williams","RB","TB","10","4.2","5","0.83","17","105","634.0","7","26","0.1","1","0","4","0.0"
"131","Ronnie Rivers","RB","LA","11","4.1","5","0.83","17","191","999.0","5","21","0.1","1","1","5","0.0"
"132","Jaret Patterson","RB","LAC","7","3.6","5","0.72","17","116","677.0","4","17","0.1","1","1","5","0.0"
