"","","","","Projection","","","","","Draft","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","YDS","TD","TGT","REC","YDS","TD"
"55","Josh Whyle","TE","GB","11","42.9","15","2.86","10","104","695.5","0","0","0.0","24","18","162","1.4"
"56","Tommy Tremble","TE","CAR","5","42.3","14","3.02","10","175","999.0","0","0","0.0","24","18","166","1.2"
"57","Josh Oliver","TE","MIN","6","42.2","15","2.81","10","138","999.0","0","0","0.0","24","18","164","1.3"
"58","Will Kacmarek","TE","MIA","6","41.4","15","2.76","10","220","999.0","0","0","0.0","23","17","163","1.4"
"59","Joe Royer","TE","CLV","11","38.8","15","2.59","10","98","683.0","0","0","0.0","22","16","150","1.3"
"60","Cade Stover","TE","HST","8","38.2","15","2.55","10","120","999.0","0","0","0.0","26","20","127","1.0"
"61","Ja'Tavion Sanders","TE","CAR","5","37.6","15","2.51","10","121","999.0","0","0","0.0","21","17","150","1.0"
"62","Adam Trautman","TE","DEN","10","34.7","15","2.32","10","97","682.8","0","0","0.0","18","13","151","1.1"
"63","Luke Schoonmaker","TE","DAL","14","34.2","15","2.28","10","116","999.0","0","0","0.0","19","14","134","1.1"
"64","Mo Alie-Cox","TE","IND","13","34.2","15","2.28","10","58","527.6","0","0","0.0","20","14","132","1.2"
"65","Brock Wright","TE","DET","6","33.3","15","2.22","10","102","690.8","0","0","0.0","19","15","121","1.1"
"66","Ben Sinnott","TE","WAS","7","33.1","15","2.21","10","109","999.0","0","0","0.0","18","13","125","1.2"
"67","Max Klare","TE","LA","11","32.3","15","2.15","10","35","248.8","0","0","0.0","18","13","128","1.1"
"68","Eli Stowers","TE","PHI","10","31.3","15","2.09","10","","1875.0","0","0","0.0","17","13","122","1.1"
"69","Luke Musgrave","TE","GB","11","31.1","10","3.11","10","157","999.0","0","0","0.0","19","14","129","0.7"
"70","Mitchell Evans","TE","CAR","5","30.7","15","2.04","10","201","999.0","0","0","0.0","18","13","128","0.8"
"71","Tip Reiman","TE","ARZ","14","30.2","15","2.01","10","124","999.0","0","0","0.0","15","11","136","1.0"
"72","Nate Boerkircher","TE","JAX","7","30.0","15","2.00","10","185","999.0","0","0","0.0","16","12","120","1.0"
"73","Matthew Hibner","TE","BLT","13","29.5","15","1.97","10","180","999.0","0","0","0.0","16","12","119","1.0"
"74","John Bates","TE","WAS","7","29.2","15","1.95","10","174","999.0","0","0","0.0","16","12","111","1.0"
"75","Durham Smythe","TE","BLT","13","27.4","15","1.83","10","144","999.0","0","0","0.0","14","11","120","0.8"
"76","Marlin Klein","TE","HST","8","27.0","15","1.80","10","184","999.0","0","0","0.0","18","13","92","0.8"
"77","Erick All","TE","CIN","6","26.9","8","3.36","10","111","999.0","0","0","0.0","13","10","114","0.9"
"78","Jeremy Ruckert","TE","NYJ","13","26.0","15","1.73","10","170","999.0","0","0","0.0","15","12","107","0.6"
"79","Johnny Mundt","TE","PHI","10","25.5","15","1.70","10","150","999.0","1","4","0.0","15","12","88","0.7"
"80","Sam Roush","TE","CHI","10","25.2","15","1.68","10","181","999.0","0","0","0.0","16","12","91","0.8"
"81","Josh Cuevas","TE","BLT","13","24.7","14","1.76","10","105","697.1","0","0","0.0","15","11","83","1.0"
"82","Tyler Conklin","TE","DET","6","23.0","15","1.53","10","91","676.4","0","0","0.0","13","10","102","0.5"
"83","Seydou Traore","TE","MIA","6","22.7","15","1.51","10","87","668.6","0","0","0.0","11","8","97","0.8"
"84","Brevyn Spann-Ford","TE","DAL","14","20.1","15","1.34","10","110","999.0","0","0","0.0","11","8","72","0.8"
"85","Riley Nowakowski","TE","PIT","9","19.4","15","1.29","10","78","643.4","0","0","0.0","9","7","88","0.6"
"86","Ben Sims","TE","MIA","6","18.7","15","1.24","10","51","468.0","0","0","0.0","11","8","74","0.5"
"87","Jackson Hawes","TE","BUF","7","18.5","14","1.32","10","68","613.5","0","0","0.0","8","6","79","0.8"
"88","Andrew Ogletree","TE","IND","13","18.0","15","1.20","10","164","999.0","0","0","0.0","9","6","74","0.7"
"89","Ben Yurosek","TE","MIN","6","17.9","15","1.19","10","190","999.0","0","0","0.0","15","11","43","0.5"
"90","Charlie Woerner","TE","ATL","11","17.4","15","1.16","10","77","641.5","0","0","0.0","8","6","84","0.5"
"91","Justin Joly","TE","DEN","10","17.0","15","1.13","10","226","999.0","0","0","0.0","10","7","68","0.5"
"92","Eric Saubert","TE","SEA","11","16.6","15","1.10","10","64","575.5","0","0","0.0","10","7","65","0.5"
"93","Julian Hill","TE","NE","11","15.8","15","1.05","10","88","668.8","0","0","0.0","8","6","65","0.5"
"94","Davis Allen","TE","LA","11","15.3","15","1.02","10","82","660.7","0","0","0.0","9","6","54","0.6"
"95","Kylen Granson","TE","TEN","9","15.2","15","1.01","10","55","505.0","0","0","0.0","9","7","55","0.5"
"96","Luke Farrell","TE","SF","8","14.9","15","0.99","10","53","491.0","0","0","0.0","8","6","64","0.5"
"97","Jack Stoll","TE","CLV","11","14.7","15","0.98","10","69","621.3","0","0","0.0","8","6","57","0.6"
"98","Tanner Koziol","TE","JAX","7","13.5","15","0.90","10","224","999.0","0","0","0.0","7","5","54","0.5"
"99","Ian Thomas","TE","LV","13","13.1","14","0.94","10","146","999.0","0","0","0.0","9","7","46","0.2"
"100","Nate Adkins","TE","DEN","10","12.5","14","0.89","10","71","627.5","0","0","0.0","7","5","45","0.5"
"101","Foster Moreau","TE","HST","8","11.6","14","0.83","10","76","638.3","0","0","0.0","7","5","42","0.3"
"102","Payne Durham","TE","TB","10","11.1","15","0.74","10","63","564.0","0","0","0.0","6","4","40","0.4"
"103","Hunter Long","TE","JAX","7","10.2","14","0.73","10","177","999.0","0","0","0.0","5","4","36","0.4"
"104","Grant Calcaterra","TE","PHI","10","9.4","15","0.62","10","100","685.8","1","4","0.0","4","3","35","0.3"
"105","Will Mallory","TE","IND","13","8.6","7","1.22","10","106","698.5","0","0","0.0","5","3","39","0.2"
"106","Teagan Quitoriano","TE","ARZ","14","8.3","10","0.83","10","166","999.0","0","0","0.0","5","3","33","0.3"
"107","Jack Westover","TE","NE","11","7.9","15","0.53","10","42","389.0","0","0","0.0","5","4","20","0.4"
"108","Drake Dabney","TE","GB","11","7.3","7","1.04","10","44","409.3","0","2","0.0","4","2","28","0.3"
"109","Jared Wiley","TE","KC","5","7.0","10","0.70","10","93","677.5","0","0","0.0","3","3","29","0.3"
"110","Albert Okwuegbunam","TE","LV","13","6.6","5","1.32","10","133","999.0","0","0","0.0","4","3","28","0.2"
"111","Keleki Latu","TE","BUF","7","5.4","10","0.54","10","57","525.3","0","0","0.0","3","2","23","0.2"
"112","Colson Yankoff","TE","WAS","7","5.4","14","0.38","10","","2635.0","0","0","0.0","3","2","19","0.2"
"113","David Martin-Robinson","TE","TEN","9","5.2","15","0.35","10","112","999.0","0","0","0.0","3","3","15","0.2"
"114","Jelani Woods","TE","NYJ","13","4.9","10","0.49","10","34","243.0","0","0","0.0","2","2","22","0.1"
"115","Joshua Simon","TE","ATL","11","4.9","10","0.49","10","39","317.0","0","0","0.0","2","1","27","0.2"
"116","Thomas Fidone II","TE","NYG","8","3.6","5","0.72","10","198","999.0","0","0","0.0","1","1","17","0.1"
"117","Quintin Morris","TE","JAX","7","3.4","5","0.68","10","176","999.0","0","0","0.0","2","1","12","0.2"
"118","Chris Manhertz","TE","NYG","8","3.2","15","0.21","10","70","625.3","0","0","0.0","2","1","11","0.1"
"119","Gavin Bartholomew","TE","MIN","6","3.1","10","0.31","10","85","667.2","0","0","0.0","2","1","13","0.1"
"120","Cameron Latu","TE","PHI","10","2.8","15","0.18","10","","2800.0","1","4","0.0","1","1","8","0.1"
"121","Messiah Swinson","TE","GB","11","2.7","7","0.39","10","38","261.0","0","0","0.0","1","1","12","0.1"
"122","Devin Culp","TE","TB","10","2.7","7","0.39","10","125","999.0","0","0","0.0","1","1","13","0.1"
"123","Jake Briningstool","TE","KC","5","2.6","5","0.52","10","196","999.0","0","0","0.0","2","1","9","0.1"
"124","Stephen Carlson","TE","CHI","10","2.5","10","0.25","10","135","999.0","0","0","0.0","1","1","12","0.1"
"125","CJ Dippre","TE","NE","11","2.5","5","0.50","10","52","482.4","0","0","0.0","1","1","9","0.1"
"126","Cam Grandy","TE","CIN","6","2.3","5","0.46","10","126","999.0","0","0","0.0","1","1","9","0.1"
"127","Brayden Willis","TE","SF","8","2.3","5","0.45","10","117","999.0","0","0","0.0","2","1","8","0.1"
"128","Zaire Mitchell-Paden","TE","NO","8","1.7","7","0.25","10","160","999.0","0","0","0.0","1","1","6","0.1"
"129","Nick Kallerup","TE","SEA","11","1.5","10","0.15","10","188","999.0","0","0","0.0","1","1","7","0.1"
"130","Hayden Rucci","TE","SF","8","0.6","5","0.12","10","202","999.0","0","0","0.0","0","0","2","0.0"
"131","Ko Kieft","TE","TB","10","0.6","7","0.08","10","163","999.0","0","0","0.0","0","0","2","0.0"
"132","Lawrence Cager","TE","WAS","7","0.0","0","0.00","10","143","999.0","0","0","0.0","0","0","0","0.0"
"132","Moliki Matavao","TE","NO","8","0.0","0","0.00","10","200","999.0","0","0","0.0","0","0","0","0.0"
"132","Brevin Jordan","TE","HST","8","0.0","10","0.00","10","81","651.3","0","0","0.0","0","0","0","0.0"
"132","Feleipe Franks","TE","CAR","5","0.0","0","0.00","10","178","999.0","0","0","0.0","0","0","0","0.0"
"132","Rivaldo Fairweather","TE","ARZ","14","0.0","0","0.00","10","99","683.3","0","0","0.0","0","0","0","0.0"
"132","Bauer Sharp","TE","TB","10","0.0","0","0.00","10","183","999.0","0","0","0.0","0","0","0","0.0"
"132","Lucas Krull","TE","DEN","10","0.0","0","0.00","10","165","999.0","0","0","0.0","0","0","0","0.0"
