"","","","","Projection","","","","","Draft","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","YDS","TD","TGT","REC","YDS","TD"
"54","Alec Pierce","WR","IND","13","133.4","13","10.26","11","40","101.0","0","0","0.0","74","43","671","3.9"
"55","Wan'Dale Robinson","WR","TEN","9","133.1","15","8.87","11","48","116.2","3","14","0.0","82","55","606","2.7"
"56","Tre Tucker","WR","LV","13","131.7","15","8.78","11","71","202.4","8","44","0.2","74","45","596","3.5"
"57","Ryan Flournoy","WR","DAL","14","129.8","15","8.65","11","85","230.7","3","15","0.0","65","44","610","3.9"
"58","Jalen McMillan","WR","TB","10","129.7","14","9.27","11","72","207.2","2","13","0.0","69","44","594","4.2"
"59","Jalen Nailor","WR","LV","13","128.6","15","8.57","11","63","182.3","2","12","0.0","73","46","599","3.6"
"60","Dontayvion Wicks","WR","PHI","10","128.2","15","8.55","11","314","999.0","0","0","0.0","64","41","653","3.7"
"61","Jerry Jeudy","WR","CLV","11","128.0","15","8.54","11","65","190.5","1","3","0.0","89","53","548","3.4"
"62","Rashid Shaheed","WR","SEA","11","124.2","15","8.28","11","56","147.6","7","40","0.2","69","44","567","3.1"
"63","KC Concepcion","WR","CLV","11","119.2","15","7.95","11","49","122.9","0","0","0.0","76","47","535","3.2"
"64","Adonai Mitchell","WR","NYJ","13","117.5","15","7.84","12","90","234.9","2","7","0.0","74","44","547","3.1"
"65","Jauan Jennings","WR","MIN","6","113.4","15","7.56","12","68","195.5","0","0","0.0","64","42","526","3.2"
"66","Devaughn Vele","WR","NO","8","112.5","14","8.04","12","94","239.8","0","0","0.0","68","45","489","3.1"
"67","Rashod Bateman","WR","BLT","13","111.2","15","7.42","12","88","232.7","0","0","0.0","58","35","526","3.9"
"68","Caleb Douglas","WR","MIA","6","110.7","15","7.38","12","75","215.8","0","0","0.0","60","38","564","2.7"
"69","Calvin Ridley","WR","TEN","9","110.5","15","7.37","12","106","253.2","0","0","0.0","69","39","547","2.8"
"70","Denzel Boston","WR","CLV","11","108.0","15","7.20","12","59","165.5","0","0","0.0","69","43","480","2.9"
"71","Kayshon Boutte","WR","HST","8","104.4","15","6.96","12","86","231.8","0","0","0.0","59","36","502","3.1"
"72","Malik Washington","WR","MIA","6","102.6","15","6.84","12","70","199.9","9","54","0.3","60","44","379","2.3"
"73","Jordyn Tyson","WR","NO","8","102.1","11","9.28","13","37","86.1","0","0","0.0","55","36","495","2.8"
"74","KaVontae Turpin","WR","DAL","14","102.0","15","6.80","13","311","999.0","16","90","0.4","44","31","431","2.9"
"75","Jaylin Noel","WR","HST","8","101.2","14","7.23","13","74","213.7","2","13","0.0","53","35","464","3.0"
"76","Marvin Mims Jr.","WR","DEN","10","99.6","15","6.64","13","76","219.5","11","59","0.3","53","38","398","2.4"
"77","Tre Harris","WR","LAC","7","99.4","15","6.63","13","87","231.8","2","14","0.1","54","36","439","2.9"
"78","Omar Cooper Jr.","WR","NYJ","13","96.7","15","6.45","13","64","189.7","0","0","0.0","53","35","453","2.8"
"79","De'Zhaun Stribling","WR","SF","8","95.1","15","6.34","13","57","156.2","0","0","0.0","48","32","474","2.7"
"80","Malachi Fields","WR","NYG","8","92.3","15","6.15","13","79","222.2","0","0","0.0","50","32","440","2.7"
"81","Kendrick Bourne","WR","ARZ","14","91.6","15","6.10","13","273","999.0","1","5","0.0","49","32","443","2.5"
"82","Pat Bryant","WR","DEN","10","89.4","15","5.96","13","","1180.0","0","0","0.0","50","33","418","2.5"
"83","Xavier Legette","WR","CAR","5","88.2","15","5.88","13","","1200.0","3","13","0.0","58","35","369","2.5"
"84","Tank Dell","WR","HST","8","88.0","12","7.34","13","62","174.9","0","0","0.0","47","29","434","2.5"
"85","Ja'Kobi Lane","WR","BLT","13","85.8","15","5.72","14","58","157.2","0","0","0.0","46","30","422","2.3"
"86","Germie Bernard","WR","PIT","9","84.3","15","5.62","14","84","229.8","0","0","0.0","49","31","387","2.4"
"87","Jahan Dotson","WR","ATL","11","83.9","15","5.60","14","296","999.0","0","0","0.0","62","36","357","2.0"
"88","Tyquan Thornton","WR","KC","5","81.3","15","5.42","14","323","999.0","0","0","0.0","45","24","403","2.8"
"89","Isaac TeSlaa","WR","DET","6","80.1","15","5.34","14","73","210.3","0","0","0.0","42","26","379","2.7"
"90","Andrei Iosivas","WR","CIN","6","78.7","15","5.25","14","","1270.0","1","5","0.0","50","31","321","2.5"
"91","Jack Bech","WR","LV","13","77.9","15","5.20","14","92","238.2","0","0","0.0","45","29","369","2.1"
"92","Keon Coleman","WR","BUF","7","77.5","15","5.16","14","89","234.8","0","0","0.0","44","27","367","2.3"
"93","Calvin Austin III","WR","NYG","8","77.4","15","5.16","14","298","999.0","0","0","0.0","48","30","354","2.0"
"94","Kalif Raymond","WR","CHI","10","76.1","15","5.07","14","325","999.0","0","0","0.0","38","25","387","2.0"
"95","Chris Bell","WR","MIA","6","76.0","13","5.85","14","95","240.9","0","0","0.0","42","28","376","1.8"
"96","Cyrus Allen","WR","KC","5","75.2","15","5.01","14","61","173.6","0","0","0.0","41","27","349","2.3"
"97","Mack Hollins","WR","NE","11","71.8","15","4.79","14","332","999.0","0","0","0.0","37","25","353","2.0"
"98","DeMario Douglas","WR","NE","11","68.4","15","4.56","15","318","999.0","4","19","0.0","33","23","335","1.7"
"99","Olamide Zaccheaus","WR","ATL","11","66.6","15","4.44","15","349","999.0","0","0","0.0","45","29","259","2.0"
"100","Zachariah Branch","WR","ATL","11","65.9","15","4.39","15","66","191.2","4","23","0.2","36","23","318","1.3"
"101","Josh Palmer","WR","BUF","7","64.1","15","4.27","15","291","999.0","0","0","0.0","34","22","305","1.9"
"102","Colbie Young","WR","CIN","6","63.3","15","4.22","15","276","999.0","0","0","0.0","35","22","299","1.9"
"103","Christian Kirk","WR","SF","8","62.4","13","4.80","15","97","241.7","0","0","0.0","32","21","308","1.8"
"104","Xavier Hutchinson","WR","HST","8","61.1","15","4.07","15","","1435.0","2","11","0.0","35","21","283","1.7"
"105","Antonio Williams","WR","WAS","7","60.9","15","4.06","15","91","236.0","0","0","0.0","36","24","279","1.6"
"106","Elic Ayomanor","WR","TEN","9","60.5","15","4.03","15","96","241.5","0","0","0.0","41","24","263","1.8"
"107","Roman Wilson","WR","PIT","9","60.2","14","4.30","15","","1450.0","0","0","0.0","37","22","269","1.8"
"108","Troy Franklin","WR","DEN","10","56.8","15","3.79","15","98","241.8","3","13","0.0","33","20","248","1.7"
"109","Zavion Thomas","WR","CHI","10","56.2","15","3.75","15","280","999.0","12","68","0.2","25","16","239","1.4"
"110","John Metchie III","WR","CAR","5","56.1","14","4.01","15","324","999.0","0","0","0.0","34","23","244","1.5"
"111","Bryce Lance","WR","NO","8","55.8","15","3.72","15","277","999.0","0","0","0.0","37","23","241","1.5"
"112","Tory Horton","WR","SEA","11","54.4","14","3.89","15","81","228.7","0","0","0.0","29","18","277","1.5"
"113","Isaiah Williams","WR","NYJ","13","54.1","14","3.87","15","","1515.0","2","9","0.0","32","24","217","1.3"
"114","Ashton Dulin","WR","IND","13","52.8","15","3.52","16","348","999.0","4","24","0.0","26","16","271","1.2"
"115","Ted Hurst III","WR","TB","10","51.0","15","3.40","16","93","239.6","0","0","0.0","27","17","236","1.7"
"116","Tez Johnson","WR","TB","10","49.5","15","3.30","16","","1560.0","7","32","0.1","27","18","189","1.5"
"117","Travis Hunter","WR","JAX","7","47.0","14","3.36","16","60","167.4","2","13","0.1","25","16","208","1.4"
"118","Darius Slayton","WR","NYG","8","46.7","15","3.11","16","350","999.0","0","0","0.0","27","16","222","1.4"
"119","Savion Williams","WR","GB","11","46.6","14","3.33","16","","1595.0","11","52","0.1","17","12","203","1.5"
"120","Chimere Dike","WR","TEN","9","44.8","15","2.98","16","83","229.4","0","0","0.0","28","18","193","1.2"
"121","Devontez Walker","WR","BLT","13","40.9","15","2.73","16","","1665.0","0","0","0.0","21","14","201","1.2"
"122","Jordan Whittington","WR","LA","11","40.8","15","2.72","16","","1670.0","3","13","0.1","20","15","185","1.0"
"123","Konata Mumpfield","WR","LA","11","40.1","15","2.68","16","","1690.0","0","0","0.0","23","13","204","1.1"
"124","Treylon Burks","WR","WAS","7","39.1","10","3.91","16","299","999.0","0","0","0.0","26","15","189","0.9"
"125","Skyler Bell","WR","BUF","7","38.9","15","2.59","16","279","999.0","0","0","0.0","22","13","189","1.1"
"126","Isaiah Bond","WR","CLV","11","38.8","15","2.58","16","","1720.0","4","24","0.0","20","12","193","0.9"
"127","Greg Dortch","WR","DET","6","38.6","12","3.22","16","351","999.0","2","14","0.0","22","15","160","1.0"
"128","Darnell Mooney","WR","NYG","8","38.0","15","2.53","16","103","249.2","0","0","0.0","22","13","187","1.0"
"129","Jalen Tolbert","WR","MIA","6","36.3","12","3.03","17","297","999.0","0","0","0.0","20","13","180","1.0"
"130","Malik Benson","WR","LV","13","36.2","15","2.41","17","269","999.0","0","0","0.0","23","14","167","0.9"
"131","Xavier Smith","WR","LA","11","35.5","15","2.37","17","149","551.0","0","0","0.0","19","13","178","0.8"
"132","Kyle Williams","WR","NE","11","35.0","14","2.50","17","78","222.1","1","7","0.0","20","12","152","1.2"
"133","Tutu Atwell","WR","MIA","6","34.8","12","2.90","17","301","999.0","0","0","0.0","18","11","179","1.0"
"134","Kevin Coleman Jr.","WR","MIA","6","33.7","13","2.59","17","271","999.0","0","0","0.0","20","13","155","0.9"
"135","Noah Brown","WR","LV","13","33.5","10","3.35","17","179","633.8","0","0","0.0","18","11","164","0.9"
"136","Barion Brown","WR","NO","8","33.3","15","2.22","17","","1835.0","0","0","0.0","22","14","143","0.8"
"137","Tai Felton","WR","MIN","6","33.2","15","2.21","17","237","692.7","0","0","0.0","19","13","149","1.0"
"138","Cedrick Wilson Jr.","WR","DET","6","30.9","12","2.58","17","170","622.9","0","0","0.0","19","12","126","1.0"
"139","Marquise Brown","WR","PHI","10","30.7","14","2.20","17","353","999.0","0","0","0.0","16","10","165","0.7"
"140","Demarcus Robinson","WR","SF","8","28.9","13","2.23","17","330","999.0","0","0","0.0","15","9","152","0.8"
"141","Reggie Virgil","WR","ARZ","14","28.1","15","1.88","17","284","999.0","0","0","0.0","18","11","126","0.7"
"142","Nick Westbrook-Ikhine","WR","IND","13","27.3","15","1.82","17","303","999.0","0","0","0.0","18","11","118","0.8"
"143","Bo Melton","WR","GB","11","26.8","13","2.06","17","240","695.0","5","31","0.0","18","10","95","0.7"
"144","Jimmy Horn Jr.","WR","CAR","5","26.7","14","1.91","17","","2050.0","6","38","0.0","14","9","100","0.6"
"145","Elijah Sarratt","WR","BLT","13","26.6","10","2.66","17","82","229.2","0","0","0.0","13","9","136","0.7"
"146","Brenen Thompson","WR","LAC","7","25.9","15","1.73","17","268","999.0","0","0","0.0","14","9","130","0.7"
"147","Mitchell Tinsley","WR","CIN","6","25.9","15","1.72","17","","2080.0","0","0","0.0","15","10","111","0.9"
"148","Cedric Tillman","WR","CLV","11","25.0","13","1.93","17","214","667.4","0","0","0.0","16","10","118","0.6"
"149","Jalen Royals","WR","KC","5","25.0","15","1.67","17","","2105.0","0","0","0.0","14","9","111","0.8"
"150","Darius Cooper","WR","PHI","10","22.7","14","1.62","17","261","999.0","0","0","0.0","13","9","110","0.5"
"151","Luke McCaffrey","WR","WAS","7","22.7","15","1.51","17","","2145.0","0","0","0.0","15","10","94","0.5"
"152","Jaylin Lane","WR","WAS","7","22.6","15","1.51","17","","2155.0","0","0","0.0","13","8","108","0.6"
"153","CJ Daniels","WR","LA","11","20.1","15","1.34","17","285","999.0","0","0","0.0","12","8","91","0.6"
"154","KeAndre Lambert-Smith","WR","LAC","7","19.1","12","1.59","17","","2200.0","0","0","0.0","10","6","96","0.5"
"155","Van Jefferson","WR","WAS","7","19.0","15","1.27","17","128","434.0","0","0","0.0","12","7","88","0.5"
"156","Xavier Weaver","WR","ARZ","14","18.1","15","1.21","17","196","647.0","0","0","0.0","8","5","98","0.6"
"157","Odell Beckham Jr.","WR","NYG","8","18.1","10","1.81","17","327","999.0","0","0","0.0","11","7","73","0.6"
"158","Arian Smith","WR","NYJ","13","18.0","15","1.20","17","","2240.0","2","13","0.0","10","7","72","0.5"
"159","Dont'e Thornton Jr.","WR","LV","13","17.6","10","1.76","17","","2250.0","0","0","0.0","11","7","83","0.4"
"160","Laquon Treadwell","WR","IND","13","15.0","10","1.50","17","206","660.0","0","0","0.0","8","5","78","0.3"
"161","Deion Burks","WR","IND","13","14.6","14","1.04","17","","2320.0","0","0","0.0","9","6","72","0.3"
"162","Emmanuel Henderson Jr.","WR","SEA","11","14.4","15","0.96","17","286","999.0","0","0","0.0","6","4","75","0.5"
"163","Mason Tipton","WR","NO","8","13.5","12","1.13","17","137","490.0","2","10","0.0","7","5","56","0.4"
"164","Jalen Reagor","WR","MIA","6","13.3","10","1.33","17","129","442.0","0","0","0.0","8","5","71","0.2"
"165","Jonathan Mingo","WR","DAL","14","12.7","10","1.27","17","249","699.9","0","0","0.0","10","6","46","0.4"
"166","Marquez Valdes-Scantling","WR","DAL","14","12.5","6","2.08","17","174","629.8","1","5","0.0","7","4","50","0.4"
"167","Elijah Moore","WR","PHI","10","12.4","10","1.24","17","250","700.0","0","0","0.0","9","5","44","0.4"
"168","Jahdae Walker","WR","CHI","10","11.8","14","0.84","17","264","999.0","0","0","0.0","6","4","62","0.3"
"169","Austin Trammell","WR","JAX","7","11.1","10","1.11","17","204","658.0","0","0","0.0","7","4","51","0.3"
"170","Tylan Wallace","WR","CLV","11","10.5","14","0.75","17","218","669.8","0","0","0.0","5","3","55","0.3"
"171","Tyrell Shavers","WR","BUF","7","10.5","5","2.09","17","202","655.9","0","0","0.0","5","3","53","0.3"
"172","Mecole Hardman","WR","BUF","7","10.5","10","1.05","17","197","649.3","2","14","0.0","5","4","40","0.2"
"173","Chris Blair","WR","ATL","11","10.1","10","1.01","17","180","634.5","0","0","0.0","6","4","50","0.3"
"174","Kameron Johnson","WR","TB","10","10.1","10","1.01","17","","2460.0","0","0","0.0","6","4","47","0.3"
"175","David Moore","WR","CAR","5","10.1","10","1.01","17","157","575.5","0","0","0.0","6","4","41","0.3"
"176","Derius Davis","WR","LAC","7","9.5","12","0.79","17","","2470.0","5","33","0.2","3","2","23","0.2"
"177","Ben Skowronek","WR","PIT","9","9.5","14","0.68","17","216","667.7","0","0","0.0","7","4","37","0.2"
"178","Dareke Young","WR","LV","13","9.3","10","0.93","17","224","676.0","0","0","0.0","5","3","45","0.2"
"179","Lil'Jordan Humphrey","WR","DEN","10","8.6","10","0.86","17","352","999.0","0","0","0.0","5","3","36","0.3"
"180","LaJohntay Wester","WR","BLT","13","8.5","14","0.61","17","","2525.0","0","0","0.0","4","2","43","0.3"
"181","Tim Patrick","WR","NYJ","13","8.3","5","1.67","17","134","473.0","1","5","0.0","4","2","37","0.3"
"182","Malachi Corley","WR","CLV","11","8.2","8","1.02","17","99","242.0","5","35","0.1","2","1","19","0.1"
"183","Tim Jones","WR","JAX","7","7.7","10","0.77","17","187","642.0","0","0","0.0","5","3","35","0.2"
"184","C.J. Williams","WR","JAX","7","7.2","15","0.48","17","274","999.0","0","0","0.0","4","2","34","0.2"
"185","Myles Price","WR","MIN","6","6.9","14","0.49","17","265","999.0","0","0","0.0","4","3","27","0.2"
"186","Jalen Brooks","WR","ARZ","14","6.5","10","0.65","17","236","691.3","0","0","0.0","2","1","33","0.3"
"187","Jake Bobo","WR","SEA","11","6.4","14","0.46","17","","2610.0","0","0","0.0","2","2","34","0.2"
"188","Jacob Cowing","WR","SF","8","5.4","13","0.42","17","","2620.0","2","10","0.0","1","1","28","0.1"
"189","Skyy Moore","WR","GB","11","5.4","7","0.77","17","231","685.4","0","0","0.0","2","2","30","0.2"
"190","Devin Duvernay","WR","ARZ","14","4.2","12","0.35","17","344","999.0","0","0","0.0","1","1","24","0.2"
"191","Justin Watson","WR","HST","8","3.9","5","0.79","17","241","695.2","0","0","0.0","2","2","17","0.1"
"192","Nikko Remigio","WR","KC","5","3.9","10","0.39","17","","2710.0","0","0","0.0","3","2","17","0.1"
"193","Xavier Restrepo","WR","TEN","9","3.8","5","0.76","17","223","675.0","0","0","0.0","2","1","17","0.1"
"194","Jason Brownlee","WR","KC","5","3.6","5","0.72","17","","2725.0","0","0","0.0","2","1","14","0.1"
"195","Kaden Wetjen","WR","PIT","9","3.5","10","0.35","17","275","999.0","0","0","0.0","2","1","15","0.2"
"196","Scott Miller","WR","CHI","10","3.3","5","0.67","17","245","697.5","0","0","0.0","2","1","16","0.1"
"197","Dylan Drummond","WR","ATL","11","2.8","10","0.28","17","104","251.0","0","0","0.0","2","1","13","0.1"
"198","Dominic Lovett","WR","DET","6","2.4","7","0.34","17","160","589.0","0","0","0.0","2","1","10","0.1"
"199","Efton Chism III","WR","NE","11","2.1","5","0.42","17","","2855.0","0","0","0.0","1","1","11","0.1"
"200","JP Richardson","WR","CHI","10","1.8","5","0.36","17","209","662.5","0","0","0.0","1","1","8","0.0"
"201","Ke'Shawn Williams","WR","CIN","6","1.7","5","0.34","17","181","636.0","0","0","0.0","1","1","6","0.1"
"202","Charlie Jones","WR","CIN","6","1.2","5","0.25","17","","2895.0","0","0","0.0","1","1","4","0.0"
"203","Jeshaun Jones","WR","MIN","6","1.2","5","0.24","17","108","270.0","0","0","0.0","1","0","4","0.0"
"203","Dontae Fleming","WR","MIN","6","1.2","5","0.24","17","120","374.7","0","0","0.0","1","0","4","0.0"
"205","Kevin Austin Jr.","WR","NO","8","0.0","0","0.00","17","322","999.0","0","0","0.0","0","0","0","0.0"
"205","Isaiah Hodgins","WR","NYG","8","0.0","0","0.00","17","307","999.0","0","0","0.0","0","0","0","0.0"
"205","Dayton Wade","WR","BLT","13","0.0","0","0.00","17","","2920.0","0","0","0.0","0","0","0","0.0"
"205","Jordan Watkins","WR","SF","8","0.0","0","0.00","17","","2920.0","0","0","0.0","0","0","0","0.0"
"205","Michael Bandy","WR","DEN","10","0.0","0","0.00","17","294","999.0","0","0","0.0","0","0","0","0.0"
"205","Ricky White III","WR","SEA","11","0.0","0","0.00","17","225","676.5","0","0","0.0","0","0","0","0.0"
"205","Garrett Greene","WR","TB","10","0.0","0","0.00","17","63","673.7","0","0","0.0","0","0","0","0.0"
"205","Jared Wayne","WR","HST","8","0.0","0","0.00","17","229","682.0","0","0","0.0","0","0","0","0.0"
"205","Tyler Scott","WR","LA","11","0.0","0","0.00","17","","2920.0","0","0","0.0","0","0","0","0.0"
