"","","","","Projection","","","","","Draft","","Passing","","","","","Rushing","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","CMP","YDS","TD","INT","ATT","YDS","TD"
"52","Trey Lance","QB","LAC","7","29.3","2","14.64","14","111","999.0","58","34","373","1.8","2","13","71","0.3"
"53","Spencer Rattler","QB","NO","8","29.2","2","14.59","14","74","999.0","70","45","453","2.2","2","7","35","0.1"
"54","Davis Mills","QB","HST","8","27.6","2","13.78","14","115","999.0","66","41","424","2.5","2","5","19","0.1"
"55","Jarrett Stidham","QB","DEN","10","27.5","2","13.75","14","98","999.0","59","36","387","2.1","2","9","42","0.3"
"56","Drew Lock","QB","SEA","11","27.3","2","13.63","14","70","692.7","62","39","438","2.3","2","5","24","0.1"
"57","Quinn Ewers","QB","MIA","6","27.0","2","13.52","14","86","999.0","61","40","437","2.4","2","5","18","0.1"
"58","Kenny Pickett","QB","CAR","5","27.0","2","13.49","14","109","999.0","62","40","402","2.4","2","6","26","0.1"
"59","Ty Simpson","QB","LA","11","26.4","2","13.21","14","33","241.8","60","37","398","2.3","2","4","27","0.1"
"60","Will Howard","QB","PIT","9","25.7","2","12.85","15","82","999.0","60","37","394","2.2","2","6","27","0.1"
"61","Kyle Allen","QB","BUF","7","24.2","2","12.09","15","57","665.6","62","38","388","2.2","2","4","13","0.1"
"62","Tommy DeVito","QB","NE","11","24.1","2","12.04","15","129","999.0","52","33","333","1.6","1","9","43","0.3"
"63","Tyler Huntley","QB","BLT","13","23.3","2","11.66","15","91","999.0","45","29","294","1.3","1","11","59","0.3"
"64","Brady Cook","QB","NYJ","13","21.8","2","10.88","15","117","999.0","63","38","386","1.7","2","5","19","0.1"
"65","Riley Leonard","QB","IND","13","13.9","1","13.86","15","85","999.0","34","21","216","1.2","1","2","13","0.1"
"66","Stetson Bennett","QB","LA","11","0.0","0","0.00","15","126","999.0","0","0","0","0.0","0","0","0","0.0"
"66","Aidan O'Connell","QB","LV","13","0.0","0","0.00","15","54","662.3","0","0","0","0.0","0","0","0","0.0"
"66","Gardner Minshew","QB","ARZ","14","0.0","0","0.00","15","66","677.8","0","0","0","0.0","0","0","0","0.0"
"66","Andy Dalton","QB","PHI","10","0.0","0","0.00","15","88","999.0","0","0","0","0.0","0","0","0","0.0"
"66","Jalen Milroe","QB","SEA","11","0.0","0","0.00","15","79","999.0","0","0","0","0.0","0","0","0","0.0"
"66","Dillon Gabriel","QB","CLV","11","0.0","0","0.00","15","89","999.0","0","0","0","0.0","0","0","0","0.0"
"66","Mason Rudolph","QB","PIT","9","0.0","0","0.00","15","107","999.0","0","0","0","0.0","0","0","0","0.0"
