name,position,nfl_team,games,pass_yards,pass_td,pass_int,rush_yards,rush_td,receptions,rec_yards,rec_td,fumbles_lost,fg_made,xp_made,def_int,def_safeties,def_sacks,def_fumble_rec,def_td,points_allowed_per_game,yards_allowed_per_game
Chimere Dike,WR,TEN,17.0,,,,17.0,0.0,45.0,431.0,6.0,1.0,,,,,,,,,
Omar Cooper Jr.,WR,NYJ,17.0,,,,13.0,0.0,44.0,520.0,4.0,1.0,,,,,,,,,
Jahdae Walker,WR,CHI,17.0,,,,7.0,0.0,32.0,431.0,5.0,0.0,,,,,,,,,
Jordyn Tyson,WR,NO,12.0,,,,7.0,0.0,40.0,574.0,3.0,1.0,,,,,,,,,
Malik Benson,WR,LV,17.0,,,,8.0,0.0,47.0,551.0,3.0,1.0,,,,,,,,,
Darius Slayton,WR,NYG,17.0,,,,5.0,0.0,40.0,613.0,2.0,1.0,,,,,,,,,
Isaac TeSlaa,WR,DET,17.0,,,,0.0,0.0,27.0,404.0,5.0,0.0,,,,,,,,,
Ashton Dulin,WR,IND,17.0,,,,66.0,0.0,25.0,551.0,2.0,0.0,,,,,,,,,
Jaylin Noel,WR,HOU,17.0,,,,13.0,0.0,40.0,451.0,4.0,0.0,,,,,,,,,
Germie Bernard,WR,PIT,17.0,,,,10.0,0.0,42.0,511.0,3.0,1.0,,,,,,,,,
Bub Means,WR,NO,17.0,,,,6.0,0.0,38.0,519.0,3.0,1.0,,,,,,,,,
Calvin Austin III,WR,NYG,17.0,,,,0.0,0.0,33.0,449.0,4.0,0.0,,,,,,,,,
Xavier Hutchinson,WR,HOU,17.0,,,,16.0,0.0,43.0,509.0,3.0,0.0,,,,,,,,,
Cedric Tillman,WR,CLE,17.0,,,,-1.0,0.0,36.0,438.0,4.0,0.0,,,,,,,,,
Demarcus Robinson,WR,SF,17.0,,,,5.0,0.0,32.0,460.0,3.0,0.0,,,,,,,,,
Andrei Iosivas,WR,CIN,17.0,,,,11.0,0.0,35.0,470.0,3.0,0.0,,,,,,,,,
Adonai Mitchell,WR,NYJ,17.0,,,,-1.0,0.0,38.0,480.0,3.0,1.0,,,,,,,,,
Ted Hurst,WR,TB,17.0,,,,13.0,0.0,36.0,485.0,3.0,1.0,,,,,,,,,
Luke McCaffrey,WR,WAS,17.0,,,,0.0,0.0,22.0,362.0,4.0,0.0,,,,,,,,,
Malik Washington,WR,MIA,17.0,,,,84.0,1.0,46.0,349.0,3.0,1.0,,,,,,,,,
Olamide Zaccheaus,WR,ATL,17.0,,,,19.0,0.0,46.0,411.0,3.0,0.0,,,,,,,,,
Caleb Douglas,WR,MIA,17.0,,,,11.0,0.0,35.0,433.0,3.0,1.0,,,,,,,,,
Trey McBride,TE,ARI,17.0,,,,,,115.0,1080.0,8.0,0.0,,,,,,,,,
Colston Loveland,TE,CHI,17.0,,,,,,84.0,1037.0,8.0,0.0,,,,,,,,,
Brock Bowers,TE,LV,17.0,,,,,,89.0,982.0,9.0,0.0,,,,,,,,,
Dallas Goedert,TE,PHI,17.0,,,,,,68.0,716.0,11.0,0.0,,,,,,,,,
Tucker Kraft,TE,GB,17.0,,,,,,56.0,815.0,10.0,0.0,,,,,,,,,
George Kittle,TE,SF,17.0,,,,,,77.0,899.0,8.0,0.0,,,,,,,,,
Kyle Pitts,TE,ATL,17.0,,,,,,82.0,929.0,7.0,0.0,,,,,,,,,
Harold Fannin Jr.,TE,CLE,17.0,,,,,,79.0,830.0,8.0,1.0,,,,,,,,,
Tyler Warren,TE,IND,17.0,,,,,,74.0,904.0,6.0,0.0,,,,,,,,,
Isaiah Likely,TE,NYG,17.0,,,,,,69.0,897.0,7.0,2.0,,,,,,,,,
Mark Andrews,TE,BAL,17.0,,,,,,60.0,594.0,10.0,0.0,,,,,,,,,
Sam LaPorta,TE,DET,16.0,,,,,,66.0,831.0,6.0,0.0,,,,,,,,,
Dalton Kincaid,TE,BUF,17.0,,,,,,60.0,779.0,7.0,0.0,,,,,,,,,
Travis Kelce,TE,KC,17.0,,,,,,78.0,815.0,6.0,0.0,,,,,,,,,
Brenton Strange,TE,JAC,17.0,,,,,,70.0,814.0,5.0,0.0,,,,,,,,,
Juwan Johnson,TE,NO,17.0,,,,,,71.0,870.0,4.0,2.0,,,,,,,,,
Hunter Henry,TE,NE,17.0,,,,,,56.0,699.0,6.0,0.0,,,,,,,,,
Jake Ferguson,TE,DAL,17.0,,,,,,78.0,636.0,7.0,2.0,,,,,,,,,
Cade Otton,TE,TB,17.0,,,,,,68.0,708.0,4.0,0.0,,,,,,,,,
AJ Barner,TE,SEA,17.0,,,,,,47.0,473.0,7.0,0.0,,,,,,,,,
Dalton Schultz,TE,HOU,17.0,,,,,,71.0,683.0,4.0,0.0,,,,,,,,,
Kenyon Sadiq,TE,NYJ,17.0,,,,,,47.0,528.0,6.0,1.0,,,,,,,,,
Greg Dulcich,TE,MIA,17.0,,,,,,58.0,674.0,4.0,2.0,,,,,,,,,
Oronde Gadsden II,TE,LAC,17.0,,,,,,49.0,689.0,3.0,1.0,,,,,,,,,
Terrance Ferguson,TE,LAR,17.0,,,,,,29.0,530.0,5.0,0.0,,,,,,,,,
Darren Waller,TE,CAR,17.0,,,,,,45.0,468.0,6.0,0.0,,,,,,,,,
Pat Freiermuth,TE,PIT,17.0,,,,,,46.0,511.0,5.0,0.0,,,,,,,,,
Chigoziem Okonkwo,TE,WAS,17.0,,,,,,53.0,630.0,3.0,0.0,,,,,,,,,
Colby Parkinson,TE,LAR,17.0,,,,,,41.0,435.0,6.0,1.0,,,,,,,,,
David Njoku,TE,LAC,17.0,,,,,,42.0,404.0,6.0,0.0,,,,,,,,,
T.J. Hockenson,TE,MIN,17.0,,,,,,55.0,516.0,4.0,0.0,,,,,,,,,
Tyler Higbee,TE,LAR,17.0,,,,,,40.0,499.0,4.0,0.0,,,,,,,,,
Mike Gesicki,TE,CIN,17.0,,,,,,49.0,540.0,3.0,0.0,,,,,,,,,
Mason Taylor,TE,NYJ,17.0,,,,,,56.0,461.0,4.0,0.0,,,,,,,,,
Theo Johnson,TE,NYG,17.0,,,,,,33.0,390.0,5.0,0.0,,,,,,,,,
Evan Engram,TE,DEN,17.0,,,,,,56.0,479.0,3.0,0.0,,,,,,,,,
Dawson Knox,TE,BUF,17.0,,,,,,35.0,401.0,3.0,0.0,,,,,,,,,
Gunnar Helm,TE,TEN,17.0,,,,,,44.0,378.0,3.0,0.0,,,,,,,,,
Charlie Kolar,TE,LAC,17.0,,,,,,25.0,333.0,4.0,0.0,,,,,,,,,
Brock Wright,TE,DET,17.0,,,,,,34.0,302.0,4.0,0.0,,,,,,,,,
Daniel Bellinger,TE,TEN,17.0,,,,,,26.0,332.0,3.0,0.0,,,,,,,,,
Darnell Washington,TE,PIT,17.0,,,,,,35.0,383.0,2.0,1.0,,,,,,,,,
Will Kacmarek,TE,MIA,17.0,,,,,,35.0,327.0,3.0,1.0,,,,,,,,,
Josh Oliver,TE,MIN,17.0,,,,,,22.0,243.0,4.0,0.0,,,,,,,,,
Michael Mayer,TE,LV,17.0,,,,,,40.0,345.0,2.0,0.0,,,,,,,,,
Noah Fant,TE,NO,17.0,,,,,,44.0,423.0,2.0,3.0,,,,,,,,,
Marlin Klein,TE,HOU,17.0,,,,,,35.0,349.0,2.0,1.0,,,,,,,,,
Davis Allen,TE,LAR,17.0,,,,,,26.0,241.0,3.0,0.0,,,,,,,,,
Erick All,TE,CIN,17.0,,,,,,35.0,302.0,2.0,0.0,,,,,,,,,
Ben Sims,TE,MIA,17.0,,,,,,32.0,304.0,2.0,0.0,,,,,,,,,
Eli Stowers,TE,PHI,17.0,,,,,,31.0,322.0,2.0,1.0,,,,,,,,,
Adam Trautman,TE,DEN,17.0,,,,,,27.0,282.0,2.0,0.0,,,,,,,,,
Austin Hooper,TE,ATL,17.0,,,,,,25.0,283.0,2.0,0.0,,,,,,,,,
Luke Musgrave,TE,GB,17.0,,,,,,26.0,265.0,2.0,0.0,,,,,,,,,
Grant Calcaterra,TE,PHI,17.0,,,,,,22.0,230.0,2.0,0.0,,,,,,,,,
Cole Kmet,TE,CHI,17.0,,,,,,22.0,229.0,2.0,0.0,,,,,,,,,
Eli Raridon,TE,NE,17.0,,,,,,22.0,240.0,2.0,1.0,,,,,,,,,
Nate Boerkircher,TE,JAC,17.0,,,,,,22.0,240.0,2.0,1.0,,,,,,,,,
Tommy Tremble,TE,CAR,17.0,,,,,,23.0,202.0,2.0,0.0,,,,,,,,,
Jeremy Ruckert,TE,NYJ,17.0,,,,,,27.0,196.0,2.0,0.0,,,,,,,,,
John Bates,TE,WAS,17.0,,,,,,20.0,204.0,2.0,1.0,,,,,,,,,
Nate Adkins,TE,DEN,17.0,,,,,,16.0,108.0,3.0,0.0,,,,,,,,,
Charlie Woerner,TE,ATL,17.0,,,,,,25.0,222.0,1.0,0.0,,,,,,,,,
Mitchell Evans,TE,CAR,17.0,,,,,,16.0,143.0,2.0,0.0,,,,,,,,,
Ja'Tavion Sanders,TE,CAR,17.0,,,,,,25.0,192.0,1.0,0.0,,,,,,,,,
Foster Moreau,TE,HOU,17.0,,,,,,11.0,132.0,2.0,0.0,,,,,,,,,
Ben Sinnott,TE,WAS,17.0,,,,,,11.0,122.0,2.0,0.0,,,,,,,,,
Jackson Hawes,TE,BUF,17.0,,,,,,10.0,120.0,2.0,0.0,,,,,,,,,
Nick Vannett,TE,SEA,17.0,,,,,,10.0,95.0,2.0,0.0,,,,,,,,,
Devin Culp,TE,TB,17.0,,,,,,11.0,118.0,2.0,0.0,,,,,,,,,
Hunter Long,TE,JAC,17.0,,,,,,10.0,90.0,2.0,0.0,,,,,,,,,
Noah Gray,TE,KC,17.0,,,,,,15.0,139.0,1.0,0.0,,,,,,,,,
Cade Stover,TE,HOU,17.0,,,,,,15.0,122.0,1.0,0.0,,,,,,,,,
Jason Myers,K,SEA,17.0,,,,,,,,,,39.0,50.0,,,,,,,
Ka'imi Fairbairn,K,HOU,17.0,,,,,,,,,,39.0,39.0,,,,,,,
Brandon Aubrey,K,DAL,17.0,,,,,,,,,,35.0,49.0,,,,,,,
Blake Grupe,K,IND,17.0,,,,,,,,,,34.0,51.0,,,,,,,
Nick Folk,K,ATL,17.0,,,,,,,,,,35.0,46.0,,,,,,,
Jake Bates,K,DET,17.0,,,,,,,,,,31.0,53.0,,,,,,,
Cairo Santos,K,CHI,17.0,,,,,,,,,,32.0,47.0,,,,,,,
Cameron Dicker,K,LAC,17.0,,,,,,,,,,35.0,38.0,,,,,,,
Harrison Mevis,K,LAR,17.0,,,,,,,,,,29.0,55.0,,,,,,,
Will Reichard,K,MIN,17.0,,,,,,,,,,33.0,42.0,,,,,,,
Chase McLaughlin,K,TB,17.0,,,,,,,,,,33.0,42.0,,,,,,,
Tyler Loop,K,BAL,17.0,,,,,,,,,,29.0,49.0,,,,,,,
Cam Little,K,JAC,17.0,,,,,,,,,,29.0,48.0,,,,,,,
Harrison Butker,K,KC,17.0,,,,,,,,,,33.0,35.0,,,,,,,
Evan McPherson,K,CIN,17.0,,,,,,,,,,29.0,47.0,,,,,,,
Wil Lutz,K,DEN,17.0,,,,,,,,,,30.0,44.0,,,,,,,
Eddy Pineiro,K,SF,17.0,,,,,,,,,,31.0,37.0,,,,,,,
Charlie Smyth,K,NO,17.0,,,,,,,,,,30.0,37.0,,,,,,,
Trey Smack,K,GB,17.0,,,,,,,,,,29.0,39.0,,,,,,,
Tyler Bass,K,BUF,17.0,,,,,,,,,,26.0,46.0,,,,,,,
Joey Slye,K,TEN,17.0,,,,,,,,,,29.0,34.0,,,,,,,
Jason Sanders,K,NYJ,17.0,,,,,,,,,,29.0,34.0,,,,,,,
Drew Stevens,K,WAS,17.0,,,,,,,,,,27.0,39.0,,,,,,,
Andres Borregales,K,NE,17.0,,,,,,,,,,26.0,42.0,,,,,,,
Riley Patterson,K,MIA,17.0,,,,,,,,,,27.0,38.0,,,,,,,
Jake Elliott,K,PHI,17.0,,,,,,,,,,26.0,41.0,,,,,,,
Chad Ryland,K,ARI,17.0,,,,,,,,,,26.0,37.0,,,,,,,
Chris Boswell,K,PIT,17.0,,,,,,,,,,25.0,36.0,,,,,,,
Ryan Fitzgerald,K,CAR,17.0,,,,,,,,,,24.0,34.0,,,,,,,
Andre Szmyt,K,CLE,17.0,,,,,,,,,,23.0,32.0,,,,,,,
Matt Gay,K,LV,17.0,,,,,,,,,,23.0,32.0,,,,,,,
Ben Sauls,K,NYG,17.0,,,,,,,,,,20.0,25.0,,,,,,,
Dominic Zvada,K,NYG,17.0,,,,,,,,,,7.0,9.0,,,,,,,
Denver,DST,Denver,17,,,,,,,,,,,,15.0,0.0,73.0,10.0,2.9,18.4,249.0
Minnesota,DST,Minnesota,17,,,,,,,,,,,,13.0,0.0,61.4,16.0,3.1,20.9,273.7
Houston,DST,Houston,17,,,,,,,,,,,,15.0,1.0,57.0,14.0,3.3,18.8,273.8
Seattle,DST,Seattle,17,,,,,,,,,,,,14.0,0.0,51.1,12.0,4.0,17.5,276.7
L.A. Rams,DST,L.A. Rams,17,,,,,,,,,,,,15.0,0.0,51.8,12.0,2.9,20.1,294.6
Philadelphia,DST,Philadelphia,17,,,,,,,,,,,,15.0,0.0,46.4,13.0,3.0,18.9,292.0
New Orleans,DST,New Orleans,17,,,,,,,,,,,,13.0,0.0,55.1,12.0,2.8,25.5,298.2
New England,DST,New England,17,,,,,,,,,,,,14.0,0.0,45.6,12.0,3.5,21.8,290.1
Baltimore,DST,Baltimore,17,,,,,,,,,,,,13.0,0.0,49.5,12.0,2.8,21.5,295.6
Cleveland,DST,Cleveland,17,,,,,,,,,,,,13.0,0.0,52.9,11.0,2.5,24.1,277.1
Jacksonville,DST,Jacksonville,17,,,,,,,,,,,,13.0,0.0,33.0,12.0,3.5,22.6,298.4
Kansas City,DST,Kansas City,17,,,,,,,,,,,,12.0,0.0,44.1,10.0,2.5,21.2,298.4
Detroit,DST,Detroit,17,,,,,,,,,,,,14.0,0.0,59.5,10.0,3.4,23.6,307.2
L.A. Chargers,DST,L.A. Chargers,17,,,,,,,,,,,,16.0,0.0,59.9,9.0,2.8,22.2,300.6
Atlanta,DST,Atlanta,17,,,,,,,,,,,,14.0,0.0,60.3,10.0,2.7,26.3,307.5
Pittsburgh,DST,Pittsburgh,17,,,,,,,,,,,,12.0,0.0,50.5,16.0,3.0,21.4,316.8
Buffalo,DST,Buffalo,17,,,,,,,,,,,,15.0,0.0,47.3,11.0,3.0,23.4,312.6
Chicago,DST,Chicago,17,,,,,,,,,,,,15.0,0.0,42.6,13.0,3.1,23.2,348.8
Cincinnati,DST,Cincinnati,17,,,,,,,,,,,,13.0,0.0,47.1,13.0,3.0,25.6,335.8
Miami,DST,Miami,17,,,,,,,,,,,,10.0,0.0,52.2,13.0,2.7,27.7,340.9
Tampa Bay,DST,Tampa Bay,17,,,,,,,,,,,,12.0,0.0,40.4,14.0,2.8,24.8,321.6
Las Vegas,DST,Las Vegas,17,,,,,,,,,,,,11.0,0.0,46.8,12.0,2.3,27.8,316.5
Green Bay,DST,Green Bay,17,,,,,,,,,,,,13.0,0.0,39.2,12.0,2.6,22.1,304.3
Washington,DST,Washington,17,,,,,,,,,,,,11.0,0.0,47.2,9.0,2.8,26.8,361.2
Indianapolis,DST,Indianapolis,17,,,,,,,,,,,,12.0,0.0,41.1,11.0,2.7,23.6,305.9
Carolina,DST,Carolina,17,,,,,,,,,,,,13.0,0.0,42.2,9.0,2.4,24.8,333.5
N.Y. Giants,DST,N.Y. Giants,17,,,,,,,,,,,,10.0,0.0,41.3,11.0,2.6,27.4,362.8
San Francisco,DST,San Francisco,17,,,,,,,,,,,,11.0,0.0,32.0,12.0,2.6,23.8,318.0
Tennessee,DST,Tennessee,17,,,,,,,,,,,,10.0,0.0,53.6,12.0,2.7,30.6,348.8
Dallas,DST,Dallas,17,,,,,,,,,,,,10.0,0.0,43.8,11.0,2.4,29.1,365.9
Arizona,DST,Arizona,17,,,,,,,,,,,,12.0,0.0,35.4,12.0,2.4,30.4,353.7
N.Y. Jets,DST,N.Y. Jets,17,,,,,,,,,,,,11.0,0.0,35.5,8.0,3.0,28.8,317.6
