name,position,nfl_team,games,pass_yards,pass_td,pass_int,pass_two_pt,rush_yards,rush_td,rush_two_pt,receptions,rec_yards,rec_td,rec_two_pt,fumbles_lost,off_fumble_rec_td,fumble_rec_two_pt,fg_made,xp_made,xp_missed,kick_return_td,punt_return_td,def_sacks,def_int,def_fumble_rec,def_td,def_blocked_fg,def_blocked_punt,def_blocked_xp,def_safeties,points_allowed_per_game,yards_allowed_per_game
Jaret Patterson,RB,LAC,5.0,,,,,17.0,0.1,,1.0,5.0,0.0,,,,,,,,,,,,,,,,,,,
Michael Carter,RB,TEN,5.0,,,,,15.0,0.1,,1.0,7.0,0.0,,,,,,,,,,,,,,,,,,,
Isaac Guerendo,RB,SF,5.0,,,,,11.0,0.1,,1.0,9.0,0.0,,,,,,,,,,,,,,,,,,,
Lan Larison,RB,NE,5.0,,,,,15.0,0.1,,1.0,6.0,0.0,,,,,,,,,,,,,,,,,,,
Frank Gore Jr.,RB,BUF,7.0,,,,,13.0,0.1,,1.0,6.0,0.0,,,,,,,,,,,,,,,,,,,
Brittain Brown,RB,CHI,5.0,,,,,14.0,0.1,,1.0,7.0,0.0,,,,,,,,,,,,,,,,,,,
Dameon Pierce,RB,PHI,5.0,,,,,19.0,0.1,,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
Kalel Mullings,RB,TEN,5.0,,,,,21.0,0.1,,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
Damien Martinez,RB,GB,5.0,,,,,6.0,0.0,,1.0,7.0,0.0,,,,,,,,,,,,,,,,,,,
Donovan Edwards,RB,MIA,8.0,,,,,8.0,0.1,,1.0,6.0,0.0,,,,,,,,,,,,,,,,,,,
Ahmani Marshall,RB,CLV,5.0,,,,,9.0,0.0,,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
Gary Brightwell,RB,CIN,5.0,,,,,0.0,0.0,,1.0,7.0,0.0,,,,,,,,,,,,,,,,,,,
Ulysses Bentley IV,RB,IND,5.0,,,,,8.0,0.0,,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
Ben VanSumeren,RB,BUF,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Ameer Abdullah,RB,JAX,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Puka Nacua,WR,LA,15.0,,,,,74.0,0.5,,109.0,1456.0,8.2,,,,,,,,,,,,,,,,,,,
Ja'Marr Chase,WR,CIN,15.0,,,,,18.0,0.0,,102.0,1270.0,9.1,,,,,,,,,,,,,,,,,,,
Jaxon Smith-Njigba,WR,SEA,15.0,,,,,15.0,0.0,,92.0,1299.0,8.8,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,WR,DET,15.0,,,,,19.0,0.1,,95.0,1211.0,8.2,,,,,,,,,,,,,,,,,,,
CeeDee Lamb,WR,DAL,15.0,,,,,13.0,0.1,,88.0,1179.0,7.5,,,,,,,,,,,,,,,,,,,
Justin Jefferson,WR,MIN,15.0,,,,,10.0,0.1,,89.0,1161.0,7.6,,,,,,,,,,,,,,,,,,,
Drake London,WR,ATL,15.0,,,,,0.0,0.0,,86.0,1068.0,6.9,,,,,,,,,,,,,,,,,,,
Rashee Rice,WR,KC,14.5,,,,,21.0,0.2,,88.0,967.0,7.3,,,,,,,,,,,,,,,,,,,
Chris Olave,WR,NO,15.0,,,,,7.0,0.0,,87.0,1072.0,5.7,,,,,,,,,,,,,,,,,,,
Nico Collins,WR,HST,15.0,,,,,4.0,0.0,,79.0,1072.0,6.3,,,,,,,,,,,,,,,,,,,
A.J. Brown,WR,NE,15.0,,,,,13.0,0.1,,77.0,1035.0,6.5,,,,,,,,,,,,,,,,,,,
Tee Higgins,WR,CIN,15.0,,,,,0.0,0.0,,70.0,974.0,8.4,,,,,,,,,,,,,,,,,,,
George Pickens,WR,DAL,14.5,,,,,9.0,0.1,,75.0,1024.0,6.6,,,,,,,,,,,,,,,,,,,
Garrett Wilson,WR,NYJ,15.0,,,,,10.0,0.0,,83.0,966.0,6.2,,,,,,,,,,,,,,,,,,,
DeVonta Smith,WR,PHI,15.0,,,,,0.0,0.0,,79.0,962.0,6.1,,,,,,,,,,,,,,,,,,,
Zay Flowers,WR,BLT,15.0,,,,,33.0,0.1,,71.0,1030.0,5.6,,,,,,,,,,,,,,,,,,,
Ladd McConkey,WR,LAC,15.0,,,,,0.0,0.0,,75.0,953.0,6.2,,,,,,,,,,,,,,,,,,,
Davante Adams,WR,LA,15.0,,,,,0.0,0.0,,70.0,874.0,8.2,,,,,,,,,,,,,,,,,,,
Malik Nabers,WR,NYG,14.0,,,,,0.0,0.0,,74.0,950.0,6.0,,,,,,,,,,,,,,,,,,,
Jameson Williams,WR,DET,15.0,,,,,32.0,0.2,,58.0,974.0,6.1,,,,,,,,,,,,,,,,,,,
Mike Evans,WR,SF,15.0,,,,,0.0,0.0,,65.0,843.0,7.6,,,,,,,,,,,,,,,,,,,
Emeka Egbuka,WR,TB,15.0,,,,,10.0,0.0,,66.0,883.0,6.4,,,,,,,,,,,,,,,,,,,
Terry McLaurin,WR,WAS,15.0,,,,,0.0,0.0,,63.0,959.0,5.6,,,,,,,,,,,,,,,,,,,
Tetairoa McMillan,WR,CAR,15.0,,,,,0.0,0.0,,68.0,882.0,5.5,,,,,,,,,,,,,,,,,,,
Jaylen Waddle,WR,DEN,15.0,,,,,10.0,0.0,,66.0,888.0,5.5,,,,,,,,,,,,,,,,,,,
Christian Watson,WR,GB,14.0,,,,,9.0,0.1,,57.0,905.0,6.4,,,,,,,,,,,,,,,,,,,
Parker Washington,WR,JAX,15.0,,,,,29.0,0.2,,65.0,848.0,5.4,,,,,,,,,,,,,,,,,,,
DJ Moore,WR,BUF,15.0,,,,,48.0,0.2,,68.0,777.0,5.5,,,,,,,,,,,,,,,,,,,
Rome Odunze,WR,CHI,15.0,,,,,0.0,0.0,,63.0,841.0,6.0,,,,,,,,,,,,,,,,,,,
Luther Burden III,WR,CHI,15.0,,,,,35.0,0.0,,68.0,828.0,4.7,,,,,,,,,,,,,,,,,,,
Michael Pittman,WR,PIT,15.0,,,,,0.0,0.0,,78.0,723.0,5.3,,,,,,,,,,,,,,,,,,,
Brian Thomas Jr.,WR,JAX,15.0,,,,,16.0,0.2,,63.0,831.0,5.4,,,,,,,,,,,,,,,,,,,
DK Metcalf,WR,PIT,15.0,,,,,8.0,0.0,,65.0,809.0,5.7,,,,,,,,,,,,,,,,,,,
Jakobi Meyers,WR,JAX,15.0,,,,,17.0,0.1,,68.0,808.0,4.7,,,,,,,,,,,,,,,,,,,
Stefon Diggs,WR,WAS,15.0,,,,,0.0,0.0,,67.0,826.0,4.8,,,,,,,,,,,,,,,,,,,
Quentin Johnston,WR,LAC,15.0,,,,,11.0,0.1,,60.0,836.0,5.5,,,,,,,,,,,,,,,,,,,
Courtland Sutton,WR,DEN,15.0,,,,,0.0,0.0,,61.0,799.0,5.9,,,,,,,,,,,,,,,,,,,
Carnell Tate,WR,TEN,15.0,,,,,0.0,0.0,,67.0,770.0,4.2,,,,,,,,,,,,,,,,,,,
Jordan Addison,WR,MIN,15.0,,,,,17.0,0.1,,57.0,758.0,4.8,,,,,,,,,,,,,,,,,,,
Jayden Reed,WR,GB,15.0,,,,,77.0,0.4,,56.0,689.0,4.4,,,,,,,,,,,,,,,,,,,
Chris Godwin Jr.,WR,TB,15.0,,,,,0.0,0.0,,61.0,711.0,4.2,,,,,,,,,,,,,,,,,,,
Marvin Harrison Jr.,WR,ARZ,15.0,,,,,0.0,0.0,,60.0,692.0,4.4,,,,,,,,,,,,,,,,,,,
Romeo Doubs,WR,NE,15.0,,,,,0.0,0.0,,53.0,742.0,4.8,,,,,,,,,,,,,,,,,,,
Josh Downs,WR,IND,15.0,,,,,7.0,0.0,,60.0,665.0,3.9,,,,,,,,,,,,,,,,,,,
Cooper Kupp,WR,SEA,15.0,,,,,1.0,0.0,,54.0,738.0,3.5,,,,,,,,,,,,,,,,,,,
Deebo Samuel Sr.,WR,SF,15.0,,,,,68.0,0.6,,51.0,646.0,3.6,,,,,,,,,,,,,,,,,,,
Michael Wilson,WR,ARZ,15.0,,,,,0.0,0.0,,56.0,662.0,4.0,,,,,,,,,,,,,,,,,,,
Xavier Worthy,WR,KC,15.0,,,,,75.0,0.4,,50.0,602.0,4.0,,,,,,,,,,,,,,,,,,,
Matthew Golden,WR,GB,15.0,,,,,36.0,0.1,,44.0,649.0,4.1,,,,,,,,,,,,,,,,,,,
Khalil Shakir,WR,BUF,15.0,,,,,4.0,0.0,,56.0,615.0,3.2,,,,,,,,,,,,,,,,,,,
Keenan Allen,WR,IND,15.0,,,,,0.0,0.0,,58.0,588.0,3.3,,,,,,,,,,,,,,,,,,,
Jalen Coker,WR,CAR,14.0,,,,,0.0,0.0,,50.0,664.0,3.3,,,,,,,,,,,,,,,,,,,
Makai Lemon,WR,PHI,15.0,,,,,0.0,0.0,,52.0,612.0,3.8,,,,,,,,,,,,,,,,,,,
Alec Pierce,WR,IND,13.0,,,,,0.0,0.0,,43.0,671.0,3.9,,,,,,,,,,,,,,,,,,,
Wan'Dale Robinson,WR,TEN,15.0,,,,,14.0,0.0,,55.0,606.0,2.7,,,,,,,,,,,,,,,,,,,
Tre Tucker,WR,LV,15.0,,,,,44.0,0.2,,45.0,596.0,3.5,,,,,,,,,,,,,,,,,,,
Ryan Flournoy,WR,DAL,15.0,,,,,15.0,0.0,,44.0,610.0,3.9,,,,,,,,,,,,,,,,,,,
Jalen McMillan,WR,TB,14.0,,,,,13.0,0.0,,44.0,594.0,4.2,,,,,,,,,,,,,,,,,,,
Jalen Nailor,WR,LV,15.0,,,,,12.0,0.0,,46.0,599.0,3.6,,,,,,,,,,,,,,,,,,,
Dontayvion Wicks,WR,PHI,15.0,,,,,0.0,0.0,,41.0,653.0,3.7,,,,,,,,,,,,,,,,,,,
Jerry Jeudy,WR,CLV,15.0,,,,,3.0,0.0,,53.0,548.0,3.4,,,,,,,,,,,,,,,,,,,
Rashid Shaheed,WR,SEA,15.0,,,,,40.0,0.2,,44.0,567.0,3.1,,,,,,,,,,,,,,,,,,,
KC Concepcion,WR,CLV,15.0,,,,,0.0,0.0,,47.0,535.0,3.2,,,,,,,,,,,,,,,,,,,
Adonai Mitchell,WR,NYJ,15.0,,,,,7.0,0.0,,44.0,547.0,3.1,,,,,,,,,,,,,,,,,,,
Jauan Jennings,WR,MIN,15.0,,,,,0.0,0.0,,42.0,526.0,3.2,,,,,,,,,,,,,,,,,,,
Devaughn Vele,WR,NO,14.0,,,,,0.0,0.0,,45.0,489.0,3.1,,,,,,,,,,,,,,,,,,,
Rashod Bateman,WR,BLT,15.0,,,,,0.0,0.0,,35.0,526.0,3.9,,,,,,,,,,,,,,,,,,,
Caleb Douglas,WR,MIA,15.0,,,,,0.0,0.0,,38.0,564.0,2.7,,,,,,,,,,,,,,,,,,,
Calvin Ridley,WR,TEN,15.0,,,,,0.0,0.0,,39.0,547.0,2.8,,,,,,,,,,,,,,,,,,,
Denzel Boston,WR,CLV,15.0,,,,,0.0,0.0,,43.0,480.0,2.9,,,,,,,,,,,,,,,,,,,
Kayshon Boutte,WR,HST,15.0,,,,,0.0,0.0,,36.0,502.0,3.1,,,,,,,,,,,,,,,,,,,
Malik Washington,WR,MIA,15.0,,,,,54.0,0.3,,44.0,379.0,2.3,,,,,,,,,,,,,,,,,,,
Jordyn Tyson,WR,NO,11.0,,,,,0.0,0.0,,36.0,495.0,2.8,,,,,,,,,,,,,,,,,,,
KaVontae Turpin,WR,DAL,15.0,,,,,90.0,0.4,,31.0,431.0,2.9,,,,,,,,,,,,,,,,,,,
Jaylin Noel,WR,HST,14.0,,,,,13.0,0.0,,35.0,464.0,3.0,,,,,,,,,,,,,,,,,,,
Marvin Mims Jr.,WR,DEN,15.0,,,,,59.0,0.3,,38.0,398.0,2.4,,,,,,,,,,,,,,,,,,,
Tre Harris,WR,LAC,15.0,,,,,14.0,0.1,,36.0,439.0,2.9,,,,,,,,,,,,,,,,,,,
Omar Cooper Jr.,WR,NYJ,15.0,,,,,0.0,0.0,,35.0,453.0,2.8,,,,,,,,,,,,,,,,,,,
De'Zhaun Stribling,WR,SF,15.0,,,,,0.0,0.0,,32.0,474.0,2.7,,,,,,,,,,,,,,,,,,,
Malachi Fields,WR,NYG,15.0,,,,,0.0,0.0,,32.0,440.0,2.7,,,,,,,,,,,,,,,,,,,
Kendrick Bourne,WR,ARZ,15.0,,,,,5.0,0.0,,32.0,443.0,2.5,,,,,,,,,,,,,,,,,,,
Pat Bryant,WR,DEN,15.0,,,,,0.0,0.0,,33.0,418.0,2.5,,,,,,,,,,,,,,,,,,,
Xavier Legette,WR,CAR,15.0,,,,,13.0,0.0,,35.0,369.0,2.5,,,,,,,,,,,,,,,,,,,
Tank Dell,WR,HST,12.0,,,,,0.0,0.0,,29.0,434.0,2.5,,,,,,,,,,,,,,,,,,,
Ja'Kobi Lane,WR,BLT,15.0,,,,,0.0,0.0,,30.0,422.0,2.3,,,,,,,,,,,,,,,,,,,
Germie Bernard,WR,PIT,15.0,,,,,0.0,0.0,,31.0,387.0,2.4,,,,,,,,,,,,,,,,,,,
Jahan Dotson,WR,ATL,15.0,,,,,0.0,0.0,,36.0,357.0,2.0,,,,,,,,,,,,,,,,,,,
Tyquan Thornton,WR,KC,15.0,,,,,0.0,0.0,,24.0,403.0,2.8,,,,,,,,,,,,,,,,,,,
Isaac TeSlaa,WR,DET,15.0,,,,,0.0,0.0,,26.0,379.0,2.7,,,,,,,,,,,,,,,,,,,
Andrei Iosivas,WR,CIN,15.0,,,,,5.0,0.0,,31.0,321.0,2.5,,,,,,,,,,,,,,,,,,,
Jack Bech,WR,LV,15.0,,,,,0.0,0.0,,29.0,369.0,2.1,,,,,,,,,,,,,,,,,,,
Keon Coleman,WR,BUF,15.0,,,,,0.0,0.0,,27.0,367.0,2.3,,,,,,,,,,,,,,,,,,,
Calvin Austin III,WR,NYG,15.0,,,,,0.0,0.0,,30.0,354.0,2.0,,,,,,,,,,,,,,,,,,,
Kalif Raymond,WR,CHI,15.0,,,,,0.0,0.0,,25.0,387.0,2.0,,,,,,,,,,,,,,,,,,,
Chris Bell,WR,MIA,13.0,,,,,0.0,0.0,,28.0,376.0,1.8,,,,,,,,,,,,,,,,,,,
Cyrus Allen,WR,KC,15.0,,,,,0.0,0.0,,27.0,349.0,2.3,,,,,,,,,,,,,,,,,,,
Mack Hollins,WR,NE,15.0,,,,,0.0,0.0,,25.0,353.0,2.0,,,,,,,,,,,,,,,,,,,
DeMario Douglas,WR,NE,15.0,,,,,19.0,0.0,,23.0,335.0,1.7,,,,,,,,,,,,,,,,,,,
Olamide Zaccheaus,WR,ATL,15.0,,,,,0.0,0.0,,29.0,259.0,2.0,,,,,,,,,,,,,,,,,,,
Zachariah Branch,WR,ATL,15.0,,,,,23.0,0.2,,23.0,318.0,1.3,,,,,,,,,,,,,,,,,,,
Josh Palmer,WR,BUF,15.0,,,,,0.0,0.0,,22.0,305.0,1.9,,,,,,,,,,,,,,,,,,,
Colbie Young,WR,CIN,15.0,,,,,0.0,0.0,,22.0,299.0,1.9,,,,,,,,,,,,,,,,,,,
Christian Kirk,WR,SF,13.0,,,,,0.0,0.0,,21.0,308.0,1.8,,,,,,,,,,,,,,,,,,,
Xavier Hutchinson,WR,HST,15.0,,,,,11.0,0.0,,21.0,283.0,1.7,,,,,,,,,,,,,,,,,,,
Antonio Williams,WR,WAS,15.0,,,,,0.0,0.0,,24.0,279.0,1.6,,,,,,,,,,,,,,,,,,,
Elic Ayomanor,WR,TEN,15.0,,,,,0.0,0.0,,24.0,263.0,1.8,,,,,,,,,,,,,,,,,,,
Roman Wilson,WR,PIT,14.0,,,,,0.0,0.0,,22.0,269.0,1.8,,,,,,,,,,,,,,,,,,,
Troy Franklin,WR,DEN,15.0,,,,,13.0,0.0,,20.0,248.0,1.7,,,,,,,,,,,,,,,,,,,
Zavion Thomas,WR,CHI,15.0,,,,,68.0,0.2,,16.0,239.0,1.4,,,,,,,,,,,,,,,,,,,
John Metchie III,WR,CAR,14.0,,,,,0.0,0.0,,23.0,244.0,1.5,,,,,,,,,,,,,,,,,,,
Bryce Lance,WR,NO,15.0,,,,,0.0,0.0,,23.0,241.0,1.5,,,,,,,,,,,,,,,,,,,
Tory Horton,WR,SEA,14.0,,,,,0.0,0.0,,18.0,277.0,1.5,,,,,,,,,,,,,,,,,,,
Isaiah Williams,WR,NYJ,14.0,,,,,9.0,0.0,,24.0,217.0,1.3,,,,,,,,,,,,,,,,,,,
Ashton Dulin,WR,IND,15.0,,,,,24.0,0.0,,16.0,271.0,1.2,,,,,,,,,,,,,,,,,,,
Ted Hurst III,WR,TB,15.0,,,,,0.0,0.0,,17.0,236.0,1.7,,,,,,,,,,,,,,,,,,,
Tez Johnson,WR,TB,15.0,,,,,32.0,0.1,,18.0,189.0,1.5,,,,,,,,,,,,,,,,,,,
Travis Hunter,WR,JAX,14.0,,,,,13.0,0.1,,16.0,208.0,1.4,,,,,,,,,,,,,,,,,,,
Darius Slayton,WR,NYG,15.0,,,,,0.0,0.0,,16.0,222.0,1.4,,,,,,,,,,,,,,,,,,,
Savion Williams,WR,GB,14.0,,,,,52.0,0.1,,12.0,203.0,1.5,,,,,,,,,,,,,,,,,,,
Chimere Dike,WR,TEN,15.0,,,,,0.0,0.0,,18.0,193.0,1.2,,,,,,,,,,,,,,,,,,,
Devontez Walker,WR,BLT,15.0,,,,,0.0,0.0,,14.0,201.0,1.2,,,,,,,,,,,,,,,,,,,
Jordan Whittington,WR,LA,15.0,,,,,13.0,0.1,,15.0,185.0,1.0,,,,,,,,,,,,,,,,,,,
Konata Mumpfield,WR,LA,15.0,,,,,0.0,0.0,,13.0,204.0,1.1,,,,,,,,,,,,,,,,,,,
Treylon Burks,WR,WAS,10.0,,,,,0.0,0.0,,15.0,189.0,0.9,,,,,,,,,,,,,,,,,,,
Skyler Bell,WR,BUF,15.0,,,,,0.0,0.0,,13.0,189.0,1.1,,,,,,,,,,,,,,,,,,,
Isaiah Bond,WR,CLV,15.0,,,,,24.0,0.0,,12.0,193.0,0.9,,,,,,,,,,,,,,,,,,,
Greg Dortch,WR,DET,12.0,,,,,14.0,0.0,,15.0,160.0,1.0,,,,,,,,,,,,,,,,,,,
Darnell Mooney,WR,NYG,15.0,,,,,0.0,0.0,,13.0,187.0,1.0,,,,,,,,,,,,,,,,,,,
Jalen Tolbert,WR,MIA,12.0,,,,,0.0,0.0,,13.0,180.0,1.0,,,,,,,,,,,,,,,,,,,
Malik Benson,WR,LV,15.0,,,,,0.0,0.0,,14.0,167.0,0.9,,,,,,,,,,,,,,,,,,,
Xavier Smith,WR,LA,15.0,,,,,0.0,0.0,,13.0,178.0,0.8,,,,,,,,,,,,,,,,,,,
Kyle Williams,WR,NE,14.0,,,,,7.0,0.0,,12.0,152.0,1.2,,,,,,,,,,,,,,,,,,,
Tutu Atwell,WR,MIA,12.0,,,,,0.0,0.0,,11.0,179.0,1.0,,,,,,,,,,,,,,,,,,,
Kevin Coleman Jr.,WR,MIA,13.0,,,,,0.0,0.0,,13.0,155.0,0.9,,,,,,,,,,,,,,,,,,,
Noah Brown,WR,LV,10.0,,,,,0.0,0.0,,11.0,164.0,0.9,,,,,,,,,,,,,,,,,,,
Barion Brown,WR,NO,15.0,,,,,0.0,0.0,,14.0,143.0,0.8,,,,,,,,,,,,,,,,,,,
Tai Felton,WR,MIN,15.0,,,,,0.0,0.0,,13.0,149.0,1.0,,,,,,,,,,,,,,,,,,,
Cedrick Wilson Jr.,WR,DET,12.0,,,,,0.0,0.0,,12.0,126.0,1.0,,,,,,,,,,,,,,,,,,,
Marquise Brown,WR,PHI,14.0,,,,,0.0,0.0,,10.0,165.0,0.7,,,,,,,,,,,,,,,,,,,
Demarcus Robinson,WR,SF,13.0,,,,,0.0,0.0,,9.0,152.0,0.8,,,,,,,,,,,,,,,,,,,
Reggie Virgil,WR,ARZ,15.0,,,,,0.0,0.0,,11.0,126.0,0.7,,,,,,,,,,,,,,,,,,,
Nick Westbrook-Ikhine,WR,IND,15.0,,,,,0.0,0.0,,11.0,118.0,0.8,,,,,,,,,,,,,,,,,,,
Bo Melton,WR,GB,13.0,,,,,31.0,0.0,,10.0,95.0,0.7,,,,,,,,,,,,,,,,,,,
Jimmy Horn Jr.,WR,CAR,14.0,,,,,38.0,0.0,,9.0,100.0,0.6,,,,,,,,,,,,,,,,,,,
Elijah Sarratt,WR,BLT,10.0,,,,,0.0,0.0,,9.0,136.0,0.7,,,,,,,,,,,,,,,,,,,
Brenen Thompson,WR,LAC,15.0,,,,,0.0,0.0,,9.0,130.0,0.7,,,,,,,,,,,,,,,,,,,
Mitchell Tinsley,WR,CIN,15.0,,,,,0.0,0.0,,10.0,111.0,0.9,,,,,,,,,,,,,,,,,,,
Cedric Tillman,WR,CLV,13.0,,,,,0.0,0.0,,10.0,118.0,0.6,,,,,,,,,,,,,,,,,,,
Jalen Royals,WR,KC,15.0,,,,,0.0,0.0,,9.0,111.0,0.8,,,,,,,,,,,,,,,,,,,
Darius Cooper,WR,PHI,14.0,,,,,0.0,0.0,,9.0,110.0,0.5,,,,,,,,,,,,,,,,,,,
Luke McCaffrey,WR,WAS,15.0,,,,,0.0,0.0,,10.0,94.0,0.5,,,,,,,,,,,,,,,,,,,
Jaylin Lane,WR,WAS,15.0,,,,,0.0,0.0,,8.0,108.0,0.6,,,,,,,,,,,,,,,,,,,
CJ Daniels,WR,LA,15.0,,,,,0.0,0.0,,8.0,91.0,0.6,,,,,,,,,,,,,,,,,,,
KeAndre Lambert-Smith,WR,LAC,12.0,,,,,0.0,0.0,,6.0,96.0,0.5,,,,,,,,,,,,,,,,,,,
Van Jefferson,WR,WAS,15.0,,,,,0.0,0.0,,7.0,88.0,0.5,,,,,,,,,,,,,,,,,,,
Xavier Weaver,WR,ARZ,15.0,,,,,0.0,0.0,,5.0,98.0,0.6,,,,,,,,,,,,,,,,,,,
Odell Beckham Jr.,WR,NYG,10.0,,,,,0.0,0.0,,7.0,73.0,0.6,,,,,,,,,,,,,,,,,,,
Arian Smith,WR,NYJ,15.0,,,,,13.0,0.0,,7.0,72.0,0.5,,,,,,,,,,,,,,,,,,,
Dont'e Thornton Jr.,WR,LV,10.0,,,,,0.0,0.0,,7.0,83.0,0.4,,,,,,,,,,,,,,,,,,,
Laquon Treadwell,WR,IND,10.0,,,,,0.0,0.0,,5.0,78.0,0.3,,,,,,,,,,,,,,,,,,,
Deion Burks,WR,IND,14.0,,,,,0.0,0.0,,6.0,72.0,0.3,,,,,,,,,,,,,,,,,,,
Emmanuel Henderson Jr.,WR,SEA,15.0,,,,,0.0,0.0,,4.0,75.0,0.5,,,,,,,,,,,,,,,,,,,
Mason Tipton,WR,NO,12.0,,,,,10.0,0.0,,5.0,56.0,0.4,,,,,,,,,,,,,,,,,,,
Jalen Reagor,WR,MIA,10.0,,,,,0.0,0.0,,5.0,71.0,0.2,,,,,,,,,,,,,,,,,,,
Jonathan Mingo,WR,DAL,10.0,,,,,0.0,0.0,,6.0,46.0,0.4,,,,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling,WR,DAL,6.0,,,,,5.0,0.0,,4.0,50.0,0.4,,,,,,,,,,,,,,,,,,,
Elijah Moore,WR,PHI,10.0,,,,,0.0,0.0,,5.0,44.0,0.4,,,,,,,,,,,,,,,,,,,
Jahdae Walker,WR,CHI,14.0,,,,,0.0,0.0,,4.0,62.0,0.3,,,,,,,,,,,,,,,,,,,
Austin Trammell,WR,JAX,10.0,,,,,0.0,0.0,,4.0,51.0,0.3,,,,,,,,,,,,,,,,,,,
Tylan Wallace,WR,CLV,14.0,,,,,0.0,0.0,,3.0,55.0,0.3,,,,,,,,,,,,,,,,,,,
Tyrell Shavers,WR,BUF,5.0,,,,,0.0,0.0,,3.0,53.0,0.3,,,,,,,,,,,,,,,,,,,
Mecole Hardman,WR,BUF,10.0,,,,,14.0,0.0,,4.0,40.0,0.2,,,,,,,,,,,,,,,,,,,
Chris Blair,WR,ATL,10.0,,,,,0.0,0.0,,4.0,50.0,0.3,,,,,,,,,,,,,,,,,,,
Kameron Johnson,WR,TB,10.0,,,,,0.0,0.0,,4.0,47.0,0.3,,,,,,,,,,,,,,,,,,,
David Moore,WR,CAR,10.0,,,,,0.0,0.0,,4.0,41.0,0.3,,,,,,,,,,,,,,,,,,,
Derius Davis,WR,LAC,12.0,,,,,33.0,0.2,,2.0,23.0,0.2,,,,,,,,,,,,,,,,,,,
Ben Skowronek,WR,PIT,14.0,,,,,0.0,0.0,,4.0,37.0,0.2,,,,,,,,,,,,,,,,,,,
Dareke Young,WR,LV,10.0,,,,,0.0,0.0,,3.0,45.0,0.2,,,,,,,,,,,,,,,,,,,
Lil'Jordan Humphrey,WR,DEN,10.0,,,,,0.0,0.0,,3.0,36.0,0.3,,,,,,,,,,,,,,,,,,,
LaJohntay Wester,WR,BLT,14.0,,,,,0.0,0.0,,2.0,43.0,0.3,,,,,,,,,,,,,,,,,,,
Tim Patrick,WR,NYJ,5.0,,,,,5.0,0.0,,2.0,37.0,0.3,,,,,,,,,,,,,,,,,,,
Malachi Corley,WR,CLV,8.0,,,,,35.0,0.1,,1.0,19.0,0.1,,,,,,,,,,,,,,,,,,,
Tim Jones,WR,JAX,10.0,,,,,0.0,0.0,,3.0,35.0,0.2,,,,,,,,,,,,,,,,,,,
C.J. Williams,WR,JAX,15.0,,,,,0.0,0.0,,2.0,34.0,0.2,,,,,,,,,,,,,,,,,,,
Myles Price,WR,MIN,14.0,,,,,0.0,0.0,,3.0,27.0,0.2,,,,,,,,,,,,,,,,,,,
Jalen Brooks,WR,ARZ,10.0,,,,,0.0,0.0,,1.0,33.0,0.3,,,,,,,,,,,,,,,,,,,
Jake Bobo,WR,SEA,14.0,,,,,0.0,0.0,,2.0,34.0,0.2,,,,,,,,,,,,,,,,,,,
Jacob Cowing,WR,SF,13.0,,,,,10.0,0.0,,1.0,28.0,0.1,,,,,,,,,,,,,,,,,,,
Skyy Moore,WR,GB,7.0,,,,,0.0,0.0,,2.0,30.0,0.2,,,,,,,,,,,,,,,,,,,
Devin Duvernay,WR,ARZ,12.0,,,,,0.0,0.0,,1.0,24.0,0.2,,,,,,,,,,,,,,,,,,,
Justin Watson,WR,HST,5.0,,,,,0.0,0.0,,2.0,17.0,0.1,,,,,,,,,,,,,,,,,,,
Nikko Remigio,WR,KC,10.0,,,,,0.0,0.0,,2.0,17.0,0.1,,,,,,,,,,,,,,,,,,,
Xavier Restrepo,WR,TEN,5.0,,,,,0.0,0.0,,1.0,17.0,0.1,,,,,,,,,,,,,,,,,,,
Jason Brownlee,WR,KC,5.0,,,,,0.0,0.0,,1.0,14.0,0.1,,,,,,,,,,,,,,,,,,,
Kaden Wetjen,WR,PIT,10.0,,,,,0.0,0.0,,1.0,15.0,0.2,,,,,,,,,,,,,,,,,,,
Scott Miller,WR,CHI,5.0,,,,,0.0,0.0,,1.0,16.0,0.1,,,,,,,,,,,,,,,,,,,
Dylan Drummond,WR,ATL,10.0,,,,,0.0,0.0,,1.0,13.0,0.1,,,,,,,,,,,,,,,,,,,
Dominic Lovett,WR,DET,7.0,,,,,0.0,0.0,,1.0,10.0,0.1,,,,,,,,,,,,,,,,,,,
Efton Chism III,WR,NE,5.0,,,,,0.0,0.0,,1.0,11.0,0.1,,,,,,,,,,,,,,,,,,,
JP Richardson,WR,CHI,5.0,,,,,0.0,0.0,,1.0,8.0,0.0,,,,,,,,,,,,,,,,,,,
Ke'Shawn Williams,WR,CIN,5.0,,,,,0.0,0.0,,1.0,6.0,0.1,,,,,,,,,,,,,,,,,,,
