name,position,nfl_team,games,pass_yards,pass_td,pass_int,pass_two_pt,rush_yards,rush_td,rush_two_pt,receptions,rec_yards,rec_td,rec_two_pt,fumbles_lost,off_fumble_rec_td,fumble_rec_two_pt,fg_made,xp_made,xp_missed,kick_return_td,punt_return_td,def_sacks,def_int,def_fumble_rec,def_td,def_blocked_fg,def_blocked_punt,def_blocked_xp,def_safeties,points_allowed_per_game,yards_allowed_per_game
Jake Browning,QB,TB,2.0,453.0,2.9,2.0,,25.0,0.1,,,,,,,,,,,,,,,,,,,,,,,
Tyrod Taylor,QB,GB,2.0,375.0,2.1,2.0,,62.0,0.4,,,,,,,,,,,,,,,,,,,,,,,
Joshua Dobbs,QB,DET,2.0,433.0,2.5,1.0,,35.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Trubisky,QB,TEN,2.0,433.0,2.7,2.0,,26.0,0.2,,,,,,,,,,,,,,,,,,,,,,,
Nick Mullens,QB,JAX,2.0,466.0,2.8,3.0,,13.0,0.2,,,,,,,,,,,,,,,,,,,,,,,
Trey Lance,QB,LAC,2.0,373.0,1.8,2.0,,71.0,0.3,,,,,,,,,,,,,,,,,,,,,,,
Spencer Rattler,QB,NO,2.0,453.0,2.2,2.0,,35.0,0.1,,,,,,,,,,,,,,,,,,,,,,,
Davis Mills,QB,HST,2.0,424.0,2.5,2.0,,19.0,0.1,,,,,,,,,,,,,,,,,,,,,,,
Jarrett Stidham,QB,DEN,2.0,387.0,2.1,2.0,,42.0,0.3,,,,,,,,,,,,,,,,,,,,,,,
Drew Lock,QB,SEA,2.0,438.0,2.3,2.0,,24.0,0.1,,,,,,,,,,,,,,,,,,,,,,,
Quinn Ewers,QB,MIA,2.0,437.0,2.4,2.0,,18.0,0.1,,,,,,,,,,,,,,,,,,,,,,,
Kenny Pickett,QB,CAR,2.0,402.0,2.4,2.0,,26.0,0.1,,,,,,,,,,,,,,,,,,,,,,,
Ty Simpson,QB,LA,2.0,398.0,2.3,2.0,,27.0,0.1,,,,,,,,,,,,,,,,,,,,,,,
Will Howard,QB,PIT,2.0,394.0,2.2,2.0,,27.0,0.1,,,,,,,,,,,,,,,,,,,,,,,
Kyle Allen,QB,BUF,2.0,388.0,2.2,2.0,,13.0,0.1,,,,,,,,,,,,,,,,,,,,,,,
Tommy DeVito,QB,NE,2.0,333.0,1.6,1.0,,43.0,0.3,,,,,,,,,,,,,,,,,,,,,,,
Tyler Huntley,QB,BLT,2.0,294.0,1.3,1.0,,59.0,0.3,,,,,,,,,,,,,,,,,,,,,,,
Brady Cook,QB,NYJ,2.0,386.0,1.7,2.0,,19.0,0.1,,,,,,,,,,,,,,,,,,,,,,,
Riley Leonard,QB,IND,1.0,216.0,1.2,1.0,,13.0,0.1,,,,,,,,,,,,,,,,,,,,,,,
Stetson Bennett,QB,LA,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
Aidan O'Connell,QB,LV,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
Gardner Minshew,QB,ARZ,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
