name,position,nfl_team,adp,times_drafted,trials,drafted_pct
Brian Thomas Jr.,WR,JAC,119.8,100,100,100.0
Chris Rodriguez Jr.,RB,JAC,120.3,100,100,100.0
Mark Andrews,TE,BAL,121.7,99,100,99.0
Geno Smith,QB,NYJ,122.1,88,100,88.0
Marvin Harrison Jr.,WR,ARI,122.7,100,100,100.0
Jordan Mason,RB,MIN,124.4,100,100,100.0
Bub Means,WR,NO,125.6,100,100,100.0
Brandon Aubrey,K,DAL,127.3,100,100,100.0
Tucker Kraft,TE,GB,127.3,97,100,97.0
Tyler Allgeier,RB,ARI,127.8,100,100,100.0
Wan'Dale Robinson,WR,TEN,128.2,100,100,100.0
Bryce Young,QB,CAR,129.4,85,100,85.0
Deshaun Watson,QB,CLE,131.0,77,100,77.0
Isiah Pacheco,RB,DET,131.2,100,100,100.0
Rashod Bateman,WR,BAL,131.4,100,100,100.0
Denver,DST,Denver,133.2,100,100,100.0
Quentin Johnston,WR,LAC,134.3,100,100,100.0
Pat Freiermuth,TE,PIT,135.7,96,100,96.0
Brian Robinson,RB,ATL,135.7,100,100,100.0
Matthew Golden,WR,GB,137.6,100,100,100.0
Mike Washington Jr.,RB,LV,140.2,100,100,100.0
Fernando Mendoza,QB,LV,142.0,71,100,71.0
Jauan Jennings,WR,MIN,142.1,100,100,100.0
Chigoziem Okonkwo,TE,WAS,143.2,92,100,92.0
Jason Myers,K,SEA,143.5,100,100,100.0
Minnesota,DST,Minnesota,144.8,100,100,100.0
Tyjae Spears,RB,TEN,145.0,100,100,100.0
Jordan Addison,WR,MIN,146.5,100,100,100.0
Tua Tagovailoa,QB,ATL,147.4,62,100,62.0
Hunter Henry,TE,NE,147.9,88,100,88.0
Rico Dowdle,RB,PIT,148.9,100,100,100.0
Shane Buechele,QB,BUF,149.5,53,100,53.0
Alec Pierce,WR,IND,150.4,100,100,100.0
Seattle,DST,Seattle,151.6,100,100,100.0
Woody Marks,RB,HOU,152.3,98,100,98.0
Ka'imi Fairbairn,K,HOU,153.3,100,100,100.0
Ja'Kobi Lane,WR,BAL,154.2,100,100,100.0
Adrian Martinez,QB,SF,154.2,45,100,45.0
Justice Hill,RB,BAL,156.5,97,100,97.0
L.A. Chargers,DST,L.A. Chargers,156.9,100,100,100.0
Dalton Kincaid,TE,BUF,156.9,86,100,86.0
Kayshon Boutte,WR,HST,157.9,100,100,100.0
Cade Klubnik,QB,NYJ,158.0,3,100,3.0
Cameron Dicker,K,LAC,159.9,100,100,100.0
L.A. Rams,DST,L.A. Rams,161.3,100,100,100.0
Isaiah Likely,TE,NYG,161.3,79,100,79.0
Drew Allar,QB,PIT,161.5,6,100,6.0
Kaelon Black,RB,SF,161.7,95,100,95.0
Romeo Doubs,WR,NE,162.2,100,100,100.0
Will Levis,QB,TEN,163.4,41,100,41.0
Blake Grupe,K,IND,163.6,100,100,100.0
Buffalo,DST,Buffalo,164.0,100,100,100.0
Behren Morton,QB,NE,166.1,33,100,33.0
Tank Bigsby,RB,PHI,166.2,94,100,94.0
Philadelphia,DST,Philadelphia,166.6,100,100,100.0
Jake Bates,K,DET,166.7,100,100,100.0
Garrett Nussmeier,QB,KC,166.7,10,100,10.0
Jalen Nailor,WR,LV,167.8,100,100,100.0
Chase McLaughlin,K,TB,169.2,100,100,100.0
New Orleans,DST,New Orleans,169.6,100,100,100.0
Brenton Strange,TE,JAC,170.2,75,100,75.0
