year,timeframe,name,position,nfl_team,opp,bye_week,rost_pct,fpts
2026,week1,John Bates,TE,WAS,@PHI,7,1.0,0.7
2026,week1,Ryan Miller,WR,MIA,@LV,6,1.0,0.7
2026,week1,Luke Schoonmaker,TE,DAL,@NYG,14,1.0,0.7
2026,week1,Tanner Koziol,TE,JAC,CLE,7,1.0,0.7
2026,week1,Tommy Tremble,TE,CAR,CHI,5,1.0,0.7
2026,week1,Max Klare,TE,LAR,SF,11,2.0,0.7
2026,week1,Foster Moreau,TE,HOU,BUF,8,1.0,0.7
2026,week1,Kyle Juszczyk,RB,SF,@LAR,8,1.0,0.7
2026,week1,Jack Bech,WR,LV,MIA,13,3.0,0.7
2026,week1,Sam Roush,TE,CHI,@CAR,10,1.0,0.7
2026,week1,Arian Smith,WR,NYJ,@TEN,13,1.0,0.7
2026,week1,Drew Sample,TE,CIN,TB,6,1.0,0.7
2026,week1,Andrew Ogletree,TE,IND,BAL,13,1.0,0.7
2026,week1,Tre Harris,WR,LAC,ARI,7,8.0,0.7
