year,timeframe,name,position,nfl_team,opp,bye_week,rost_pct,fpts
2026,restofseason,Jordan Williams-Lambert,WR,CHI,@CAR,10,0.0,0.0
2026,restofseason,Sean Clifford,QB,CIN,TB,6,1.0,0.0
2026,restofseason,Valentine Holmes,RB,NYJ,@TEN,13,1.0,0.0
2026,restofseason,D.J. Montgomery,WR,IND,BAL,13,1.0,0.0
2026,restofseason,Montel Harris,RB,FA,BYE,0,1.0,0.0
2026,restofseason,Jeremiah Haydel,WR,LAR,SF,11,1.0,0.0
2026,restofseason,Dee Hart,RB,FA,BYE,0,1.0,0.0
2026,restofseason,Chris Tyree,WR,NO,@DET,8,1.0,0.0
2026,restofseason,Milton Wright,WR,LAC,ARI,7,1.0,0.0
2026,restofseason,Nick Nash,WR,WAS,@PHI,7,1.0,0.0
2026,restofseason,Lucas Krull,TE,DEN,@KC,10,1.0,0.0
2026,restofseason,Anthony Gould,WR,IND,BAL,13,1.0,0.0
2026,restofseason,DeVonte Christopher,WR,FA,BYE,0,1.0,0.0
2026,restofseason,Jordan Matthews,WR,CAR,CHI,5,1.0,0.0
2026,restofseason,Dymere Miller,WR,NYJ,@TEN,13,1.0,0.0
2026,restofseason,Carter Runyon,TE,LV,MIA,13,1.0,0.0
2026,restofseason,DeShon Williams,TE,SEA,NE,11,1.0,0.0
2026,restofseason,DJ Rogers,TE,DAL,@NYG,14,1.0,0.0
2026,restofseason,CJ Dippre,TE,TB,@CIN,10,0.0,0.0
2026,restofseason,Chris Pierce Jr.,TE,CAR,CHI,5,1.0,0.0
2026,restofseason,Tre Turner,WR,LV,MIA,13,1.0,0.0
2026,restofseason,Jamari Thrash,WR,CLE,@JAC,11,1.0,0.0
2026,restofseason,Kawaan Baker,WR,GB,@MIN,11,1.0,0.0
2026,restofseason,Damon Hazelton,WR,HOU,BUF,8,1.0,0.0
2026,restofseason,John Lovett,RB,PIT,ATL,9,1.0,0.0
2026,restofseason,Corey Crooms Jr.,WR,DAL,@NYG,14,1.0,0.0
2026,restofseason,Robbie Chosen,WR,WAS,@PHI,7,1.0,0.0
2026,restofseason,Tim DeMorat,QB,WAS,@PHI,7,1.0,0.0
2026,restofseason,Lawrence Cager,TE,WAS,@PHI,7,1.0,0.0
2026,restofseason,Chris Hilton Jr.,WR,GB,@MIN,11,1.0,0.0
2026,restofseason,Zakhari Franklin,WR,LV,MIA,13,1.0,0.0
2026,restofseason,Patrick Herbert,TE,LAC,ARI,7,1.0,0.0
2026,restofseason,Ricky White III,WR,SEA,NE,11,1.0,0.0
2026,restofseason,Keenen Brown,TE,HOU,BUF,8,1.0,0.0
2026,restofseason,Gage Larvadain,WR,CLE,@JAC,11,1.0,0.0
2026,restofseason,Deion Burks,WR,IND,BAL,13,1.0,0.0
2026,restofseason,Cedrick Wilson Jr.,WR,DET,NO,6,1.0,0.0
2026,restofseason,Armanti Foreman,WR,MIN,GB,6,1.0,0.0
2026,restofseason,Montana Lemonious-Craig,WR,PIT,ATL,9,1.0,0.0
2026,restofseason,Dontario Drummond,WR,DAL,@NYG,14,1.0,0.0
2026,restofseason,Joe Royer,TE,CLE,@JAC,11,1.0,0.0
2026,restofseason,Master Teague III,RB,PIT,ATL,9,1.0,0.0
2026,restofseason,Easop Winston,WR,NYJ,@TEN,13,0.0,0.0
2026,restofseason,Evan Svoboda,TE,LAC,ARI,7,1.0,0.0
2026,restofseason,Alec Holler,TE,DAL,@NYG,14,1.0,0.0
2026,restofseason,Osirus Mitchell,WR,GB,@MIN,11,1.0,0.0
2026,restofseason,Liam Clifford,WR,LAC,ARI,7,1.0,0.0
2026,restofseason,Jaren Kanak,TE,TEN,NYJ,9,1.0,0.0
2026,restofseason,Leonard Taylor,TE,JAC,CLE,7,1.0,0.0
